FACETS,BASETERM_NAME,ENFOODNAME
A043F,Stock cubes or granulate (bouillon base),YEAST EXTRACT WITH VEGETABLE STOCK
A03SL,Vitamin only supplements,HALIBORANGE HALIBONBONS CHILDRENS /ANONYMOUS VITAFIT CHEWABLE VITAMIN C
A022R,Raw cured (or seasoned) meat,"HAM CUBE, RAW, 3% F.C. ANONYMOUS"
A02JR,Stockfish,STOCKFISH LING TREATED WITH LYE BOILED
A043H,"Stock cube or granulate, beef","STOCK POWDER, BEEF-FACETS_DESC: BRANDNAME/PRODUCTNAME: KNOWN$SALT CONTENT: NORMALLY SALTED"
A043G,"Stock cubes or granulate, chicken","STOCK POWDER, CHICKEN-FACETS_DESC: BRANDNAME/PRODUCTNAME: KNOWN$SALT CONTENT: NORMALLY SALTED"
A00PA,Common nettle,Stinging nettle
A03QY,Simple cereals which have to be reconstituted with milk or other appropriate nutritious liquids,"ANONYMOUS COOK AT HOME BABY RICE, DRY, STAGE 2 7 MONTH+"
A03RK,Ready-to-eat mixed meal for children,ANONYMOUS BANANA AND CHOCOLATE DESSERT
A03DV,Still bottled drinking water,Still bottled drinking water
A03QZ,Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid,"ANONYMOUS STAGE 2 BREAKFAST CEREALS FOR BABIES, FORTIFIED"
A042G,Prepared legume (beans) salad,ANONYMOUS HIDDEN VEG BEANS
A00CK,"Dumpling, sweet",YEAST DUMPLINGS
A043M,Meat extract,STOCK CONCENTRATE LIQUID-FACETS_DESC: BRANDNAME/PRODUCTNAME: KNOWN$SALT CONTENT: NORMALLY SALTED
A03QJ,"Infant formula, based on protein hydrolysates, liquid","ANONYMOUS 1 formula, RTD"
A03QA,"Infant formula, milk-based, powder","ANONYMOUS 1 milk powder, BIO / ANONYMOUS 1 Plus Probiotic milk powder, baby food"
A03QD,"Infant formula, based on protein hydrolysates, powder","ANONYMOUS 1, formula, powder"
A03RB,"Pasta for children (dry, to be cooked)",ANONYMOUS LITTLE PASTA ANIMALS WITH CARROT AND TOMATO DRY WEIGHT FORTIFIED
A03FX,Diet soft drinks with flavours,STILL DRINK SUGAR FREE
A03DR,Still natural mineral water,Still ANONYMOUS mineral water
A01PF,"Fruit compote, apple",STEWED APPLES READY-TO-EAT IN TETRA
A01GQ,Plums,STEWED PLUMS
A01QD,Other processed fruit products (excluding beverages),STEWED STRAWBERRIES FROM POWDER
A03QP,"Follow-on formula, based on protein hydrolysates, powder",ANONYMOUS 4 powder
A03QF,"Infant formula, milk-based, liquid","ANONYMOUS GOOD NIGHT INFANT FORMULA MILK, STAGE 1 (6MTH+) MADE UP"
A03RE,Ready-to-eat cereal-based meal for children,ANONYMOUS ORGANIC CREAMY PORRIDGE BREAKFAST STAGE 2 FORTIFIED
A03QK,"Follow-on formulae, powder","ANONYMOUS ORGANIC GROWING UP MILK, 10 MONTHS+, DRY WEIGHT"
A03RF,Ready-to-eat meat-based meal for children,ANONYMOUS ORGANIC TODDLER MEALS STAGE 4 (12MTH) WITH BEEF
A03KZ,Hot chocolate,"HOT CHOCOLATE, DOLCE GUSTO CHOCOCINO, ANONYMOUS"
A02PZ,Dairy ice creams and similar,ICE BAR ANONYMOUS
A006Q,"Pizza base, cooked",YEAST DOUGH FOR PIZZA
A04MB,Processed tomato products,YEAST BASED SANDWICH SPREAD
A02QB,"Ice cream, milk-imitate based",ICE CREAM WITH OATS BANANA CHOCOLATE VANILLA ANONYMOUS
A046Y,Steviol glucoside,Stevia
A0DFX,Stevia,"Stevia, ANONYMOUS South American sugar"
A03XG,Meat balls,"STEW, MEAT BALLS STEW WITH POTATO, ANONYMOUS"
A03SM,Mineral only supplements,Zinc ANONYMOUS Zink 15 mg
A009L,Laminated doughs,"Yeast - puff pastry dough, unbaked"
A03EN,"Fruit soft drink, peach","iced tea (peach), Line ANONYMOUS, ANONYMOUS"
A02JJ,"Squid, common","Squids, breaded"
A00RR,Stems/stalks eaten as vegetables,STALK AND SPROUT N.S.
A02JH,Squids,Squids
A03AR,"Juice, apple-cherry",JUICE APPLE-CHERRY
A03CM,"Juice, beetroot",JUICE BEETROOT
A03BR,"Juice concentrate, blueberry","Juice concentrate, blueberry"
A03CD,"Juice concentrate, raspberry","Juice concentrate, raspberry"
A03BT,"Juice concentrate, red currant","Juice concentrate, red currant"
A03CE,"Juice concentrate, strawberry","Juice concentrate, strawberry"
A03DD,"Juice, multi-fruit-carrot",JUICE CONCENTRATED VEGETABLE-FACETS_DESC: SUGAR CONTENT: UNDEFINED$ENRICHED/FORTIFIED: NOT ENRICHED/FORTIFIED$BRANDNAME/PRODUCTNAME: KNOWN
A03DB,Mixed fruit and vegetable juices,"JUICE WITH PINEAPPLE, CARROT AND ADDED CALCIUM, ANONYMOUS GEFILUS,"
A03DC,"Juice, apple-carrot","JUICE, APPLE-CARROT, ANONYMOUS"
A0BX9,Fruit / vegetable juices and nectars,"JUICE, FRUEHSTUECKSSAFT, ANONYMOUS"
A03AP,"Juice, mixed fruit","JUICE, MULTI FRUIT, ANONYMOUS"
A00SF,"Sprouts, shoots and similar","Sprouts, shoots and similar"
A00SR,Mung bean sprouts,"Sprouts, bean"
A005T,"Gluten free bread, brown",ANONYMOUS GLUTEN FREE FIBRE LOAF (FORTIFIED)
A00SY,Soyabeans sprouts,"Sprouts, bean, mung,raw, unprocessed,fresh/no treatment,food/ingredient source undefined"
A00HH,Spring onions,Springonion
A00SH,Alfalfa sprouts,"SPROUT, ALFALFA"
A040F,Spring rolls,Spring rolls
A03DP,Well water,Spring water
A031A,Processed cheese and spreads,Spread with cashews
A042L,Prepared meat salad,"SPREAD, FLEISCHSALAT, ANONYMOUS"
A00GZ,Garlic,SPRING GARLIC
A0DMY,Green onions,Spring onion
A03GB,Isotonic and sport drinks,"SPORT BEVERAGE, ANONYMOUS RTD"
A0F1G,Margarines and similar,SPREAD
A039E,Blended margarine,SPRING (40 G FAT)
A02DH,Sprat,Sprat
A16FJ,Sponge biscuits,Sponge biscuits
A03ST,"Algae based formulations (e.g. Spirulina, chlorella)",SPIRULINA ANONYMOUS
A03PD,Unsweetened spirits,SPIRIT BRANDY/RUM/WHISKY 40% VOLUME
A04QF,Unsweetened spirits and liqueurs,"SPIRITS, 70 % PROOF"
A00VP,Spirulina,Spirulina
A00MJ,Spinaches,"Spinaches, raw"
A0BYR,Wafers,ANONYMOUS Milchschnitte
A065Z,Dairy snacks,ANONYMOUS MILK SLICE ANONYMOUS
A03MC,Lager beer,LAGER NOT CANNED EG. ANONYMOUS
A006R,Traditional unleavened breads,"Lavash / Armenian bread, thin (type ANONYMOUS 'ANONYMOUS')"
A03FH,"Soft drink, mixed flavours","LEMONADE, ELDERBERRY-CRANBERRY, ANONYMOUS BIO-LIMO, ANONYMOUS"
A010D,Yams,Yam
A013A,Lima beans (dry),ANONYMOUS bean (dry seeds)
A003D,"Rice grain, polished","ZLATO POLJE Parboiled rice, white, middle-grain, dry"
A025L,Liver-type sausage,"LIVER SAUSAGE, HAUSMACHER, ANONYMOUS"
A025N,Sliceable or firm cooked sausages,WURST MIT GEMÜSE/PILZEN <10% FETT
A02NR,Probiotic milk-like drinks,ANONYMOUS DRINK
A033C,Xylitol,Xylitol (E967)
A02NS,Acidophilus milk,YACULT PROBIOTIC DRINK
A00ML,Amaranth leaves,SPINACH CHINESE FRESH
A03XY,Creamed vegetable mix,SPINACH CREAMED-FACETS_DESC: PHYSICAL STATE/FORM AS QUANTIFIED: FLESH$COOKING METHOD: COOKED (N.S)$PRESERVATION METHOD: UNDEFINED
A0EQE,Savoury extracts and sauce ingredients,ANONYMOUS seasoning sauce
A0FAS,Groupers,"Wreckfish, raw"
A039H,Functional vegetable margarines/fats,"margarine, line ANONYMOUS Pro-activ, ANONYMOUS"
A03GF,Powdered drink bases,ANONYMOUS DRINK
A00MH,Spinaches and similar-,SPINACH (FRESH) (SPINACIA OLERACEA)
A042Y,Seasoning mixes,"SPICES,INGREDIENT ONLY"
A015S,Mustard seeds,"SPICES,MUSTARD SD,GROUND"
A045B,Barbecue or steak sauces,SPICY BARBECUE SAUCE
A011D,Potato flakes,"MASHED POTATOES, INSTANT-FLAKES, ANONYMOUS"
A016Y,"Basil, dry","Spices, basil, dried"
A016Z,"Bay leaves, dry","Spices, bay leaf"
A018E,Cumin seed,"Spices, cumin seed"
A042Z,Mixed herbs and spices,"Spices, poultry seasoning"
A017J,"Rosemary, dry","Spices, rosemary, dried"
A01AR,Saffron,"Spices, saffron"
A017L,"Sage, dry","SPICES, SAGE, DRIED"
A017G,"Marjoram, dry","Spices, oregano, dried"
A026K,Meat based spreadable-textured specialities,"SPICY MAJORCAN SAUSAGE, ""ANONYMOUS"" BRAND"
A026D,Wiener sausage,SPICY SAUSAGE FROM CHICKEN TURKEY OR OSTRICH BOILED
A0D8V,Black locust infusion flowers,SPICES
A00CR,Spice cakes,"SPICED CAKE-FACETS_DESC: FOOD PRODUCTION: HOMEMADE, FAT USED KNOWN$TYPE OF FAT USED: FAT USED KNOWN"
A044X,Mayonnaise sauce,"mayonnaise, ANONYMOUS, ANONYMOUS"
A026S,Liver cheese,"MEATLOAF, LEBERKAESE, DULANO, ANONYMOUS"
A043L,Vegetable savoury extracts,"SPICE, FONDOR, ANONYMOUS"
A034K,Family chocolate,"milk chocolate with alp milk, line ANONYMOUS (80g)"
A03RC,Ready-to-eat meal for infants and young children,"MENU, LASAGNE BOLOGNESE, 1-3 Y, ANONYMOUS"
A00CS,Lebkuchen,"SPICED GINGERBREAD-FACETS_DESC: FOOD PRODUCTION: HOMEMADE, FAT USED UNKNOWN"
A03MT,Wine,SPICED WIND USUALLY SERVED HOT
A016S,Spices,SPICES
A024F,Sausages,WORST EXCL LEVERPRODUCTEN GEMIDDELD
A025H,Matured charcuterie products for cooking,WORST ROOK- MAGERE   GEKOOKT
A045D,Curry sauce,"SPICE PASTE, CURRY PASTE"
A00XL,Fennel leaves,SPICE - FENNEL (ANETHUM GRAVEOLENS L.)
A00YC,Spearmint,"SPICE - MINT , LEAVES (MENTHA SP.)"
A016T,Dried herbs,SPICE (AVERAGE)
A043A,Curry powder,"Spice mix, indian curry,"
A001R,Spelt grain,"Spelt, green, podded"
A00ZA,Processed or preserved vegetables and similar,"WOK-VEGETABLES WITH GREEN BEAN, CARROT, SWEET PEPPER, MAIZE AND PARSNIP"
A00YL,Sorrel,WOOD SORREL
A004L,"Spelt flour, wholemeal","Spelt flour, wholemeal"
A004H,Spelt flour,"Spelt flour,brand/product name undefined"
A005P,"Rye-wheat bread and rolls, wholemeal","Spelt wholegrain bread, ANONYMOUS (400g)"
A03MZ,Sparkling wine,Sparkling wine
A06HL,Snacks other than chips and similar,SPELT GRAIN BREADSTICKS WITH SESAME
A03NA,Champagne-like wine,SPARKLING WINEAverage
A03KG,Coffee with milk or cream,"SPECIAL COFFEE DRINK, CAFFE LATTE, UNSWEETENED, WHOLE MILK"
A04LC,Pasta wholemeal,"SPAGHETTI, WHOLEMEAL, RAW"
A023J,Spalla cotta,Spalla cotta
A007G,Fresh egg pasta,"SPAETZLE, HAUSMACHER"
A0CDQ,"Pasta, plain (not stuffed), cooked",SPAGHETTI
A035D,Nougat,"ANONYMOUS, BAR"
A03DQ,Natural mineral water,"MINERAL WATER ANONYMOUS, ANONYMOUS"
A00NE,Witloofs,"Witloofs, raw"
A03PH,Vodka and vodka-like spirits,WODKA
A01MA,Dried fruit,WINTER MELON DRIED
A00QX,Black radishes,WINTER RADISH
A025Q,Mortadella-type sausage,"MORTADELLA, ANONYMOUS BRAND"
A00EJ,Muesli and similar mixed breakfast cereals,"MUESLI, ACTIVE, ANONYMOUS"
A00LE,Escaroles,"WITLOF, RAW"
A02GX,"Water snails, conches and whelks",WINKLE
A041E,Rice pudding,MÜLLER RICE PUDDING
A03MV,"Wine, white","Wine, white, semi-sweet"
A03NH,Vermouth,WINE-BASED APERITIF
A03RN,Fruit and vegetable juices and nectars specific for infants and young children,"Multivitamin juice (100%), baby food, ANONYMOUS"
A044R,Soy sauce,"SOYA SPREAD, UNDEFINED, SPREAD, UNDEFINED, UNDEFINED, UNDEFINED, UNDEFINED"
A03BB,Fruit nectars (min. 25-50% fruit as defined in EU legislation),"Nectar, like ""ANONYMOUS Essencial"""
A03BJ,"Nectar, pear","NECTAR, PEAR, ANONYMOUS"
A03GR,"Instant coffee powder, decaffeinated",ANONYMOUS DECAFFEINATED COFFEE
A01BG,Soya proteins,Soya protein
A03TQ,Dairy imitates other than milks,Soya pudding
A03DY,Flavoured bottled water,ANONYMOUS WELLNESS WATER WITH FRUIT ESSENCES
A00EH,Mixed cereal rolled grains,ANONYMOUS CLUSTERS BREAKFAST CEREAL
A03VL,Potatoes and cheese meal,"AU GRATIN POTATO, BUSS/ANONYMOUS"
A014C,Tree nuts,"Nuts, on average"
A014H,Cashew nuts,"Nuts, cashew nuts, raw"
A0F4S,Coconut water,"Nuts, coconut water (liquid from coconuts)"
A003B,Oat bran,Oat bran
A00DN,Processed oat-based flakes,OAT BRAN FLAKES
A014N,Pecans,"Nuts, pecan,preservation method undefined,type of packaging undefined"
A01BV,Pine nut kernels,"NUTS,PINE NUTS,DRIED"
A00DK,Oat high-bran flakes,"OAT BRAN FLAKES, PLAIN, UNDEFINED"
A00DH,Oat rolled grains,Oat rolled grains
A00DL,"Oat rolled grains, wholemeal",Oat flakes
A00DM,Oat popped,"OAT FLAKES, UNDEFINED, BRAND KNOWN"
A002Y,Oat flour,"Oat flour, whole grain (type 'ANONYMOUS')"
A000G,Oat grain,OATS
A02JE,"Octopus, common",Octopus
A02JF,"Octopus, musky",OCTOPUS
A01XH,Veal liver,OFFAL - VEAL LIVER
A0EQP,Soft candies and analogues,OH-LA-LA
A01XZ,Chicken liver,OFFAL - CHICKEN LIVER
A045L,"Salad dressing, low fat",OIL AND VINEGAR DRESSING N.S.-FACETS_DESC: FOOD PRODUCTION: COMMERCIAL N.S.$BRANDNAME/PRODUCTNAME: KNOWN
A037M,Coconut oil/fat,OIL COCONUT
A036N,"Vegetable fats and oils, edible","Oil n.s.,type of packaging undefined"
A036Q,"Olive oil, virgin or extra-virgin",OIL OLIVE
A037A,"Peanut oil, edible",OIL PEANUT
A039J,Blended frying oil/fats,"OIL,  FRYING, BLEND"
A036V,"Rape seed oil, edible","Oil, canola"
A037F,Grape seed oil,"Oil, grape seed"
A036T,Seed oils,"Oil, on average"
A037G,Linseed oil,"Oil, linseed"
A036P,Olive oils,"Oil, Olive"
A036R,"Olive oil, refined","OIL, OLIVE, PURE"
A037N,Palm oil/fat,"Oil, palm"
A037H,Pumpkin seed oil,"Oil, pumpkin seed"
A037C,"Sesame seed oil, edible","Oil, sesam"
A03MY,"Wine, rosé","Wine, Rose"
A03MX,"Wine, red","Wine, red, diluted with water"
A015F,Oilseeds,Oilseeds
A00ZT,Potatoes,OLD POTATOES
A00JF,Okra,OKRA RAW
A011P,Potato boiled,"OLD POTATOES, BOILED IN SALTED WATER"
A00ZX,Main-crop potatoes,"OLD POTATOES, AVERAGE, RAW"
A011R,Potato baked,"OLD POTATOES, BAKED, FLESH ONLY"
A011Q,Pan-fried potato,"OLD POTATOES, ROAST IN BLENDED OIL"
A016M,Olives for oil production,OLIVES GREEN FRESH
A03NB,Red or rosé sparkling wine,"Wine, pink, mousseux,"
A03ND,Cider,"Wine, new/young"
A00HC,Onions,Onion
A03YP,Omelette with bacon,Omelette with meat
A00HA,Pearl onion,Onion
A00GX,Bulb vegetables,"Onion n.s.,cooking method undefined,preservation method undefined,bought,purchase department undefined"
A046E,Relishes,ONION RELISH
A03NK,Madeira,"WINE, MADEIRA"
A03SA,Protein and protein components for sports people,"SOY PROTEIN ISOLATE, 91 % PROTEIN"
A00HD,Silverskin onions,"Onion, cocktail sweet sour"
A02MY,Cultured buttermilk,"SOURED MILK, ANONYMOUS PLUS SOURED MILK, FAT-FREE. LOW-LACTOSE"
A16GL,Fruit dessert thickened,Soutzioukos
A015P,Soyabeans for oil,"SOY BEAN, ROASTED"
A02MM,Cream with other ingredients,SOUR CREAM WITH RUM (4)
A02NB,"Sour cream, plain","SOUR CREAM, CAMPUS, PENNY"
A044M,"Vinegar, wine",WINE VINEGAR
A03PT,Sangria,WINE SANGRIA
A0DND,Onion bulbs for fresh consumption,ONIONS
A01PL,"Fruit compote, sour cherry",Sour cherry compote
A01GH,Sour cherries,SOUR CHERRY FRESH
A01NX,Canned or jarred sour cherry,SOUR CHERRY TINNED DRAINED
A02MZ,Fermented milk or cream,SOUR CREAM
A01GK,Cherries (sweet),Sour cherries / Sweet cherries
A00HB,Onions and similar-,ONIONS FRESH
A00NB,Grape leaves,"WINE LEAF, UNDEFINED, UNDEFINED, COOKING METHOD NOT APPLICABLE"
A041A,Dolma,WINE LEAVES STUFFED WITH RICE CANNED
A005M,Mixed wheat and rye bread and rolls,"Õnne' rye bread, ANONYMOUS"
A03QX,Processed cereal-based food for infants and young children,ONTBIJTPROD ANONYMOUS SMULPAP PEER-BANAAN
A00MV,Oraches leaves,Oraches leaves
A01CP,Oranges and similar-,ORANGE
A0DZB,Oranges,Orange
A041L,Soups (ready-to-eat),"SOUP, THICK, WITH ADDITIONS N.S., LIQUID, HOMEMADE N.S., WATER"
A03AM,"Juice, orange",Orange juice
A03CA,"Juice concentrate, orange",ORANGE JUICE CONCENTRATE FROZEN
A03EL,"Fruit soft drink, orange",Orange juice drink
A03BG,"Nectar, orange",ORANGE FRUIT NECTAR
A03MS,Wine and wine-like drinks,Wine and wine-like drinks
A03NG,Fortified and liqueur wines,"WINE FORTIFIED SWEET, BITTERS, SHERRY, VERMOUTH, MADEIRA,FRUIT WINE"
A041Y,Cereal products and grains based soup,"SOUP, THICK, UNRIPE SPELT GRAIN, LIQUID, HOMEMADE N.S., WATER"
A041M,Onion soup,"SOUP, THICK, ONION, LIQUID, HOMEMADE, NO FAT USED, BROTH"
A041T,Meat soup,"SOUP, THICK, OXTAIL, LIQUID, HOMEMADE N.S., BROTH"
A041P,Potato soup,"SOUP, THICK, POTATO, SOUR, LIQUID, CATERING"
A0CDN,Mixed soups,"SOUP, TOMATO WITH VERMICELLI-FACETS_DESC: PHYSICAL STATE/FORM AS QUANTIFIED: RECONSTITUTED FROM POWDER$FOOD PRODUCTION: COMMERCIAL N.S.$BRANDNAME/PRODUCTNAME: KNOWN$SALT CONTENT: NORMALLY SALTED"
A041X,Fish soup,"SOUP, THICK, FISH, LIQUID, HOMEMADE N.S., UNDEFINED"
A01CT,Bitter oranges,"Orange, bitter,"
A01NK,"Marmalade, oranges",ORANGE MARMALADE WITH SWEETENER
A041R,Mushroom soup,"SOUP, THICK WITH MUSHROOMS-FACETS_DESC: PHYSICAL STATE/FORM AS QUANTIFIED: RECONSTITUTED FROM POWDER$FOOD PRODUCTION: COMMERCIAL, FAT USED UNKNOWN$BRANDNAME/PRODUCTNAME: KNOWN$SALT CONTENT: NORMALLY SALTED"
A041V,Meat and vegetable soup,"SOUP, THICK WITH MEAT AND VEGETABLES-FACETS_DESC: PHYSICAL STATE/FORM AS QUANTIFIED: RECONSTITUTED FROM POWDER$FOOD PRODUCTION: CATERING, FAT USED UNKNOWN$SALT CONTENT: NORMALLY SALTED"
A00XV,Oregano,Oregano
A0BZA,"Meat soup, with pieces","SOUP, THICK WITH MEAT"
A01CR,"Oranges, sweet","Oranges, sweet"
A03NF,Dessert wines,"Wine ""ANONYMOUS"""
A041Q,Legume (beans) soup,"SOUP, MANGETOUT, POWDER, ANONYMOUS"
A0B9Y,"Onion soup, dry","SOUP, ONION SOUP, POWDER, ANONYMOUS"
A0BZ8,"Mixed vegetables soup, clear","SOUP, CLEAR, WITH VEGETABLES N.S., RECONSTITUTED FROM POWDER, HOMEMADE N.S., BROTH"
A020F,"Chicken edible offal, non-muscle, other than liver and kidney","Other organs ""Moelas"""
A03SV,Other common supplements,Other common supplements
A00TD,Wild fungi and similar-,WILD/FOREST MUSHROOMS
A01EB,Wild strawberries,Wild strawberries
A001J,Indian rice grain,"Wild rice, cooked"
A00TR,Pearl oyster mushrooms,Oyster mushroom
A044S,Oyster sauce,Oyster sauce
A041Z,Dairy/egg soup,"SOUP, CLEAR, WITH EGG, LIQUID, COMMERCIAL N.S., BRAND KNOWN"
A02HG,Oysters,"Oyster, raw"
A041D,Paella,"PAELLA MADE WITH RICE, CHICKEN, COD, PRAWN, PEAS AND RED PEPPER. READYMEAL CO-OP"
A01SH,Wild boar fresh meat,"WILD PORK, UNDEFINED, COOKING METHOD NOT APPLICABLE, WITHOUT VISIBLE FAT"
A02HJ,"Oyster, european","OYSTER, EUROPEAN"
A04CQ,"Wild boar, minced meat","Wild boar, minced meat"
A01DT,Berries and small fruits,WILD FRUIT
A0DJH,Ramson,Wild garlic
A00CE,"Puff-pastry croissant, filled with chocolate","Pain au chocolat,food production undefined,brand/product name undefined"
A00TZ,Canned mushrooms,WILD MUSHROOMS MIXTURE OF TINNED
A01XV,Wild boar liver,Wild boar liver
A00CT,Gingerbread,"Pain d'epices,food production undefined"
A03MJ,Pale ale beer,"PALE ALE N.S., UNDEFINED"
A0BZB,"Meat soup, clear","SOUP, CLEAR WITH MEAT-FACETS_DESC: PHYSICAL STATE/FORM AS QUANTIFIED: RECONSTITUTED FROM POWDER$FOOD PRODUCTION: COMMERCIAL N.S.$BRANDNAME/PRODUCTNAME: KNOWN$SALT CONTENT: NORMALLY SALTED"
A04CN,Wild boar carcase,WILD BOAR
A0CSN,Pancake pre-mixes (dry),Pancake flour
A00BQ,"Croissant, filled with jam",wild berry pastry
A01FL,Lingonberries,WHORTLEBERRIES RED OR COWBERRIES
A03AB,"Juice, peach",ANONYMOUS FRUITZACHT PERZIK MET VIT ACE
A007J,Fresh durum pasta,Soup made by roasting and browning flour
A007M,Dried egg pasta,Soup noodles
A004V,Bread and similar products,WHOLEMEAL ROLLS WITH CARAWAY SEEDS
A0B9Q,"Meat/poultry soup, dry",SOUP MEAT BASIS DRIED PACKET READY TO SERVEDE
A022Y,Pancetta,Pancetta
A0BZC,"Meat and vegetable soup, with puree or pieces",SOUP CREAMED WITH MEAT
A0F8N,Pangas catfishes,Pangas catfishes
A01LG,Papayas,Papaya
A042Q,"Salt, low sodium",Pansalt
A0F0V,Porridge (ready to eat),PAP BESCHUIT VAN HV MELK
A00EN,"Porridge (in dry form, to be diluted)",PAP HFV MELK ONGEZOET
A0F0T,Porridge milk based (ready to eat),PAP KARNEMELKSE GORTE-
A00EV,Wheat semolina porridge,"PAP, SEMOLINA"
A006K,Puffed rice textured bread,PAPADUMS
A033A,Sorbitol,Sorbitol (E420)
A00MT,Garden sorrel,Sorrel fresh
A04KS,Cereal and cereal-like flours,WHOLEMEAL FLOUR
A036L,Granita,Sorbet
A00CM,Scones and similar,WHOLEMEAL FRUIT SCONES
A02ZS,"Cheese, parmigiano reggiano",PARMEZANA
A00YE,Parsley,Parsley
A02ZH,"Extra hard cheese (parmesan, grana type)",PARMESAN (CHEESE)
A00QS,Parsley roots,Parsley root
A02BF,Sole,SOLE-FACETS_DESC: PHYSICAL STATE/FORM AS QUANTIFIED: SMALL PIECES OF MEAT$COOKING METHOD (FATTIEST): COOKED (N.S.)$PRESERVATION METHOD: UNDEFINED
A02AT,Flounders,Sole
A0DHY,Root parsley leaves,"PARSLEY, LEAVES, FRESH"
A00QR,Parsnip roots,Parsnip
A0EYP,Preserved or partly preserved sausages,"SOFT PROCESSED SAUSAGE, JAHTI"
A02QL,Ricotta,"soft Ricotta cheese, made of full-fat milk"
A02RT,"Soft-ripened cheese with bloomy rind (white mould) (brie, camembert type)",SOFT RIPENED CHEESE MIN. 30% FAT (ANONYMOUS)
A01KC,Passionfruits,Passionfruits
A004X,Wheat bread and rolls,SOFTGRAIN BREAD FORTIFIED TOASTED
A03EX,"Soft drink, flavoured, no fruit","Soft drinks, carbonated"
A040N,"Pasta based dishes, cooked",PASTA BOILED
A007F,Fresh pasta,PASTA CANELLONI DRIED
A040P,Lasagna,PASTA LASAGNE
A040S,"Pasta, cooked, with cheese/cream",PASTA MACARONI IN THICK WHITE SAUCE
A01SY,Partridge fresh meat,Partridge
A02XA,"Cheese, passendale",PASSENDALE
A03AA,"Juice, passion fruit",PASSION FRUIT RAW JUICE ONLY
A007L,Dried pasta,"PASTA (MACARRONI,…)"
A007R,Asian-style noodles other than glass noodles,PASTA NOODLES DRIED
A042M,Prepared mixed egg/meat/fish/vegetable salad,PASTA SALAD WITH CHEESE AND HAM
A0EQN,Soft drinks with minor amounts of fruits or flavours,"Soft drink, without gas"
A03AC,"Juice, pear","SOFT DRINK, PEAR"
A03FK,"Soft drink, pear flavour","Soft drink, pear flavour"
A03EQ,"Fruit soft drink, pineapple","Soft drink, pineapple, without gas"
A03FR,"Cola beverages, caffeinic",SOFT DRINKS CAFFEINIC
A03EY,Soft drink with bitter principle,SOFT DRINKS WITH BITTER PRINCIPLE
A03AN,Mixed fruit juice,"SOFT DRINK, MULTI FRUIT CONTENT - FORTIFIED OR ENRICHED"
A03FJ,"Soft drink, orange flavour","SOFT DRINK, ORANGE (ANONYMOUS)"
A004B,Wheat wholemeal flour,Whole wheat flour
A007D,Pasta and similar products,"PASTA, NOODLES"
A03EH,"Fruit soft drink, mango","Soft drink, mango, without gas"
A007Y,Dried stuffed pasta,"PASTA, ITALIAN FILLED N.S. DRIED;OR;FLAKES,BOILED"
A040V,"Pasta, filled with meat mix, cooked","PASTA, PENNE BOLOGNESE, ANONYMOUS"
A007X,Fresh stuffed durum pasta,"PASTA, TORTELLONI WITH MEAT, ANONYMOUS, CLAMA"
A03FC,"Soft drink, cherry flavour","Soft drink, Lemonade, sparkling"
A03FD,"Soft drink, flavoured with herbs","Soft drink, Lemonade, sparkling"
A0CEN,Savoury pies and tarts,PASTRIES/PIES/RISSOLES/CUTLETS (0)
A040Q,"Pasta, cooked, with mixed sauce",PASTAGRATIN WITH  FISH OR SHELLFISH
A040J,Meat-based canapé,Pastry based on laminated dough with meat
A0CSC,Spirits not from fruit,"PASTIS, DILUTED 1:1"
A023N,"Pastrami, pork","Pastrami, pork"
A00CJ,Various pastry,"PASTRIES, OTHER"
A026Q,"Pate, chicken liver",PAT� MADE OF MINCED MEAT CHICKEN LIVER
A026M,Liver based spreadable-textured specialities,PÂTÉ
A03FY,Diet soft drink with caffeine,"Soft drink, Cola, with cafeine"
A03FP,"Cola beverages, decaffeinated","Soft drink, Cola, without cafeine"
A03FQ,Cola-type drinks,"Soft drink, cola, carbonated"
A03EZ,"Soft drink, apple flavour","SOFT DRINK, APPLE"
A026L,Meat spread,"Pate, chicken meat, Poli pate, ANONYMOUS, 120g"
A004F,Wheat semolina,"Whole grain semolina, dry ingredient"
A026P,"Pate, goose liver","Pate, meat base, 'coarse' cutted"
A026R,"Pate, pork liver","Pate, meat base, 'fine' cutted (creme, ...)"
A001E,"Rice grain, brown","Whole grain rice, dry ingredient"
A013J,Garden peas (dry),Pea
A01BC,Canned or jarred peas,"Pea, dry"
A00JT,Patisson,"PATTYPAN SQUASH, FRESH"
A00BD,Meringue tart,"PAVLOVA, WITH FRUIT AND CREAM"
A012J,Garden peas (without pods),PEA
A003F,Rice flour,WHOLE GRAIN RICE FLOUR
A01GM,Common peaches,Peach / Nectarine
A01GL,Peaches and similar-,PEACH FRESCH
A01NC,"Jam, peaches",PEACH JAM
A01NY,Canned or jarred peach,"Peach, canned"
A031G,Hen eggs,Whole egg
A03BL,Mixed fruit nectars,PEACH-BANANA NECTAR
A015H,Peanuts,Peanut
A01BN,Peanut butter,Peanut butter
A031F,Whole eggs,Whole egg
A03FV,Diet soft drinks with fruit juice,SOFT DRINK LEMONADE SUGAR-FREE LIGHT
A02RH,Soft - ripened cheese,"SOFT CHEESE N.S., UNDEFINED, CUT, UNDEFINED, UNDEFINED"
