ENFOODNAME,FACETS,BASETERM_NAME,SCIENTIFIC_NAME,COMMON_NAME
"Plum, japanese as living plant including all members of the taxonomic group Prunus salicina Lindley. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Prunus_salicina",A061M#F02.A0EKF,"Plum, japanese (as plant)",Prunus salicina Lindley,
"Live animal of the taxonomic species Holohalaelurus punctatus, within the Family Scyliorhinidae. The organisms are commonly known as African spotted catshark or Holbiche à gorge tachetée or Pejegato moteado. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Holohalaelurus-punctatus.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Holohalaelurus punctatus",A0FLY#F02.A0EJV,African spotted catshark (as animal),Holohalaelurus punctatus,Holbiche à gorge tachetée$Pejegato moteado
"The food item has a fat content which, when rounded with the standard rules of rounding, equals 81 % (weight/weight)",A076C,81 % fat,,
"Live animal of the taxonomic genus Bryx spp., within the Family Syngnathidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Bryx£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Bryx",A0N8A#F02.A0EJV,Bryx (generic) (as animal),Bryx spp.,
"Live animal of the taxonomic species Nerita polita, within the Family Neritidae. The organisms are commonly known as Polished nerite or Nérite lustrée. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=600671£https://en.wikipedia.org/wiki/Nerita_polita",A10TM#F02.A0EJR,Polished nerite (as animal),Nerita polita,Nérite lustrée
"The group includes any type of Oats drink, often sold as milk substitute. The part consumed/analysed is by default the whole marketed unit or a homogeneous representative portion.£https://en.wikipedia.org/wiki/Milk_substitute£https://www.google.co.uk/search?tbm=isch&q=Oats drink",A03TL#F02.A06HP$F04.A000G$F33.A0C5A,Oats drink,,
"Live animal of the taxonomic species Anadara nodifera, within the Family Arcidae. The organisms are commonly known as Nodular ark or Arche noduleuse. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Anadara nodifera£https://en.wikipedia.org/wiki/Anadara",A114C#F02.A0EJR,Nodular ark (as animal),Anadara nodifera,Arche noduleuse
"Live animal of the taxonomic genus Nematogenys spp., within the Family Trichomycteridae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Nematogenys£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Nematogenys",A0LSM#F02.A0EJV,Nematogenys (generic) (as animal),Nematogenys spp.,
"Live animal of the taxonomic species Harpiosquilla harpax, within the family Harpiosquillidae. The organisms are commonly known as Robber harpiosquillid mantis s. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Harpiosquilla harpax£https://en.wikipedia.org/wiki/Squillidae",A0YYR#F02.A0EJQ,Robber harpiosquillid mantis s (as animal),Harpiosquilla harpax,
"Live animal of the taxonomic species Azorinus chamasolen, within the Family Solecurtidae. The organisms are commonly known as Antique razor clam or Solecurte rétrécie or Navallon estrecho. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Azorinus chamasolen£https://en.wikipedia.org/wiki/Solecurtidae",A11YT#F02.A0EJR,Antique razor clam (as animal),Azorinus chamasolen,Solecurte rétrécie$Navallon estrecho
Product obtained by a process combining malting and fermentation of wheat and wheat bran. The product is then dried and ground.,A0BDF#F02.A0F0Y$F23.A07TV$F27.A05VX,Malted fermented wheat particles (feed),,
"Live animal of the taxonomic species Parachaenichthys charcoti, within the Family Bathydraconidae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Parachaenichthys-charcoti.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Parachaenichthys charcoti",A0SLF#F02.A0EJV,Parachaenichthys charcoti (as animal),Parachaenichthys charcoti,
"Live animal of the taxonomic species Aequipecten opercularis, within the Family Pectinidae. The organisms are commonly known as Queen scallop or Vanneau or Volandeira or Scallop, Queen. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Aequipecten opercularis£https://en.wikipedia.org/wiki/Aequipecten_opercularis",A055R#F02.A0EJR,Queen scallop (as animal),Aequipecten opercularis,"Vanneau$Volandeira$Scallop, Queen"
"Live animal of the taxonomic species Merluccius hubbsi, within the Family Merlucciidae. The organisms are commonly known as Argentine hake or Merlu d'Argentine or Merluza argentina. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Merluccius-hubbsi.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Merluccius hubbsi",A08XN#F02.A0EJV,Argentine hake (as animal),Merluccius hubbsi,Merlu d'Argentine$Merluza argentina
"Live animal of the taxonomic species Plecodus elaviae, within the Family Cichlidae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Plecodus-elaviae.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Plecodus",A0RKE#F02.A0EJV,Plecodus elaviae (as animal),Plecodus elaviae,
"Live animal of the taxonomic species Brycinus leuciscus, within the Family Alestidae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Brycinus-leuciscus.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Brycinus",A0JHH#F02.A0EJV,Brycinus leuciscus (as animal),Brycinus leuciscus,
"Live animal of the taxonomic species Sphaeramia nematoptera, within the Family Apogonidae. The organisms are commonly known as Pajama cardinalfish. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Sphaeramia-nematoptera.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Sphaeramia nematoptera",A0Q1H#F02.A0EJV,Pajama cardinalfish (as animal),Sphaeramia nematoptera,
"Live plant organism of the taxonomic group Amomum verum Blackw., Amomum krervanh Pierre ex Gagnep. The group is relevant for the list of Botanicals. The plant is a member of the family Zingiberaceae. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Amomum",A13KQ#F02.A0BA0,Amomum verum Blackw. (as plant),Amomum verum Blackw.$Amomum krervanh Pierre ex Gagnep.,
"Live animal of the taxonomic species Pomacentrus trilineatus., within the Family Pomacentridae. The organisms are commonly known as Threeline damsel. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Pomacentrus-trilineatus.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Pomacentrus trilineatus",A0RZM#F02.A0EJV,Threeline damsel (as animal),Pomacentrus trilineatus,
"Live animal of the taxonomic genus Nassarius spp., within the Family Nassariidae. The organisms are commonly known as Tonga Nassarius Snail. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=138235£https://en.wikipedia.org/wiki/Nassarius",A0AN1#F02.A0EJR,Nassarius (generic) (as animal),Nassarius spp.,Tonga Nassarius Snail
"Live animal of the taxonomic species Anisotremus virginicus, within the Family Haemulidae (=Pomadasyidae). The organisms are commonly known as Porkfish. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Anisotremus-virginicus.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Anisotremus virginicus",A09TQ#F02.A0EJV,Porkfish (as animal),Anisotremus virginicus,
"Live animal of the taxonomic species Lipogenys gillii, within the Family Notacanthidae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Lipogenys-gillii.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Lipogenys gillii",A0MMF#F02.A0EJV,Lipogenys gillii (as animal),Lipogenys gillii,
"Live animal of the taxonomic genus Callionymus spp., within the Family Callionymidae. The organisms are commonly known as Dragonets. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Callionymus£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Callionymus",A09SK#F02.A0EJV,Callionymus (generic) (as animal),Callionymus spp.,Dragonets
"Live animal of the taxonomic species Siganus guttatus, within the Family Siganidae. The organisms are commonly known as Goldlined spinefoot or Sigan raies d'or or Sigano rayas doradas. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Siganus-guttatus.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Siganus guttatus",A09Y0#F02.A0EJV,Goldlined spinefoot (as animal),Siganus guttatus,Sigan raies d'or$Sigano rayas doradas
Field mushroom used as a biological food source including all members of the taxonomic group Agaricus campestris L. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Agaricus_campestris,A05LR#F02.A0EKB,Field mushroom (as organism),Agaricus campestris L.,
"Spices from the seeds of the plant classified under the species Bunium persicum (Boiss.) B. Fedtsch, commonly known as Black caraway seed or Black cumin seed. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Bunium_persicum£https://www.google.co.uk/search?tbm=isch&q=Black caraway seed",A0CZD#F01.A05SZ$F02.A0F0E$F27.A0CZD$F33.A0C2M,Black caraway seed,Bunium persicum (Boiss.) B. Fedtsch,Black cumin seed
"Live animal of the taxonomic species Polysteganus undulosus, within the Family Sparidae. The organisms are commonly known as Seventyfour seabream or Denté maculé or Dentón manchado. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Polysteganus-undulosus.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Polysteganus undulosus",A08D4#F02.A0EJV,Seventyfour seabream (as animal),Polysteganus undulosus,Denté maculé$Dentón manchado
"Live animal of the taxonomic species Munida rugosa, within the family Galatheidae. The organisms are commonly known as Rugose squat lobster or Galathée rugueuse or Xinxa. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=107160£https://en.wikipedia.org/wiki/Munida_rugosa",A0A6Q#F02.A0EJQ,Rugose squat lobster (as animal),Munida rugosa,Galathée rugueuse$Xinxa
"Mixture of chemicals and/or extracts formulated in such a way to reproduce the original Toffee flavour. The effect is generally intense, therefore small amounts are able to provide a well recognisable smell and taste to the food to which it is added.£https://en.wikipedia.org/wiki/Flavor£https://www.google.co.uk/search?tbm=isch&q=Toffee food flavouring",A06VM#F02.A06CD,Toffee flavour,,
"Live animal of the taxonomic species Nyctiphanes simplex, within the family Euphausiidae. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Nyctiphanes simplex£https://en.wikipedia.org/wiki/Nyctiphanes",A0YZG#F02.A0EJQ,Nyctiphanes simplex (as animal),Nyctiphanes simplex,
"Live animal of the taxonomic species Macrospinosa cuja, within the Family Sciaenidae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Macrospinosa-cuja.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Macrospinosa cuja",A0QKQ#F02.A0EJV,Macrospinosa cuja (as animal),Macrospinosa cuja,
"Live animal of the taxonomic species Moapa coriacea, within the Family Cyprinidae. The organisms are commonly known as Moapa dace. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Moapa-coriacea.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Moapa",A0KFV#F02.A0EJV,Moapa dace (as animal),Moapa coriacea,
"Live animal of the taxonomic species Oreoleuciscus handlirschi, within the Family Cyprinidae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Oreoleuciscus-handlirschi.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Oreoleuciscus",A0KGZ#F02.A0EJV,Oreoleuciscus handlirschi (as animal),Oreoleuciscus handlirschi,
"Live animal of the taxonomic species Estellacar olivacea, within the Family Noetiidae. The organisms are commonly known as Olive ark or Arche olive. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Estellacar olivacea£https://en.wikipedia.org/wiki/Noetiidae",A11TX#F02.A0EJR,Olive ark (as animal),Estellacar olivacea,Arche olive
Live animal of the taxonomic family Umbridae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/FamilySummary.php?family=Umbridae£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Umbridae,A0HBZ#F02.A0EJV,Umbridae (as animal),Umbridae,
Live plant organism of the taxonomic group Coscinium fenestratum (Goetgh.) Colebr. The group is relevant for the list of Botanicals. The plant is a member of the family Menispermaceae. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Coscinium_fenestratum,A147V#F02.A0BA0,Coscinium fenestratum (Goetgh.) Colebr. (as plant),Coscinium fenestratum (Goetgh.) Colebr.,
"The group includes any type of Salt, iodised and fluoridated. The part consumed/analysed is by default the whole marketed unit or a homogeneous representative portion.£https://www.google.co.uk/search?tbm=isch&q=Salt, iodised and fluoridated",A042T#F01.A0BYJ$F02.A06BZ$F09.A0EXA$F09.A0F3A$F27.A042T$F33.A0C2Q,"Salt, iodised and fluoridated",,
"Live animal of the taxonomic genus Microcosmus spp., within the Family Pyuridae. The organisms are commonly known as Squirt. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=103522£https://en.wikipedia.org/wiki/Microcosmus",A0AP7#F02.A0EJR,Microcosmus (generic) (as animal),Microcosmus spp.,Squirt
"Live animal of the taxonomic species Mycteroperca rosacea, within the Family Serranidae. The organisms are commonly known as Leopard grouper or Mérou léopard or Cabrilla sardinera. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Mycteroperca-rosacea.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Mycteroperca rosacea",A0PHY#F02.A0EJV,Leopard grouper (as animal),Mycteroperca rosacea,Mérou léopard$Cabrilla sardinera
Live plant organism of the taxonomic group Duboisia leichhardtii (F.Muell.) F.Muell. The group is relevant for the list of Botanicals. The plant is a member of the family Solanaceae. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Duboisia,A14EX#F02.A0BA0,Duboisia leichhardtii (F.Muell.) F.Muell. (as plant),Duboisia leichhardtii (F.Muell.) F.Muell.,
Product obtained by partial hydrolysis of inulin from Cichorium intybus L. and subsequent drying.,A0BJ2#F02.A0F0Y$F23.A07TV$F27.A05GR,"Oligofructose, dried (feed)",,
"Live animal of the taxonomic genus Propherallodus spp., within the Family Gobiesocidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Propherallodus£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Propherallodus",A0YGP#F02.A0EJV,Propherallodus (generic) (as animal),Propherallodus spp.,
"Live animal of the taxonomic species Birgus latro, within the family Coenobitidae. The organisms are commonly known as Coconut crab or Coconut Crab. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Birgus latro£https://en.wikipedia.org/wiki/Birgus_latro",A0A41#F02.A0EJQ,Coconut crab (as animal),Birgus latro,Coconut Crab
"Live animal of the taxonomic species Meda fulgida, within the Family Cyprinidae. The organisms are commonly known as Spikedace. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Meda-fulgida.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Meda",A0KFJ#F02.A0EJV,Spikedace (as animal),Meda fulgida,
"Freshwater fish classified under the species Ctenopharyngodon idella, commonly known as Carp, grass. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Grass_carp£https://www.google.co.uk/search?tbm=isch&q=edible fish Carp, grass",A027E#F01.A04TS$F02.A0EMD$F27.A027E$F33.A0C39,"Carp, grass",Ctenopharyngodon idella,Grass carp
"Live animal of the taxonomic species Sargocentron hastatum, within the Family Holocentridae. The organisms are commonly known as Red squirrelfish or Marignan rouge or Candil africano. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Sargocentron-hastatum.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Sargocentron hastatum",A0P3R#F02.A0EJV,Red squirrelfish (as animal),Sargocentron hastatum,Marignan rouge$Candil africano
"Product obtained from dehulled, fat extracted soya beans, after fermentation or a second extraction to reduce the level of nitrogen-free extract.",A0BFN#F02.A0F0Y$F23.A07TV$F27.A0EHX,Soya (bean) - protein concentrate (feed),,
The group of generally cereal-based baked products,A0EPQ,Bakery products (as part-nature),,
"Live animal of the taxonomic species Zebrias captivus, within the Family Soleidae. The organisms are commonly known as Convict zebra sole. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Zebrias-captivus.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Zebrias captivus",A0XVT#F02.A0EJV,Convict zebra sole (as animal),Zebrias captivus,
Live plant organism of the taxonomic group Cymbopogon martini (Roxb.) W.Watson . The group is relevant for the list of Botanicals. The plant is a member of the family Poaceae. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Cymbopogon_martini,A14AG#F02.A0BA0,Cymbopogon martini (Roxb.) W.Watson (as plant),Cymbopogon martini (Roxb.) W.Watson,
"Live animal of the taxonomic species Aprion virescens, within the Family Lutjanidae. The organisms are commonly known as Green jobfish or Vivaneau job or Pargo verde. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Aprion-virescens.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Aprion virescens",A092B#F02.A0EJV,Green jobfish (as animal),Aprion virescens,Vivaneau job$Pargo verde
"Leaves with particularly intense smell or taste, mainly used to provide specific taste notes to other foods.",A0F0E,Seed spices (as part-nature),,
"Live animal of the taxonomic genus Ectreposebastes spp., within the Family Scorpaenidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Ectreposebastes£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Ectreposebastes",A0VZD#F02.A0EJV,Ectreposebastes (generic) (as animal),Ectreposebastes spp.,
"Live plant organism of the taxonomic group Allium sativum L. The group is relevant for the list of Botanicals. The plant is a member of the family Amaryllidaceae. The plant is commonly known as Garlic, common. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Allium_sativum",A05BT#F02.A0EKJ,"Garlic, common (as plant)",Allium sativum L.,
"Fruits with edible peel from the plant classified under the species Hyphaene thebaica (L.) Mart., commonly known as Doum palm fruits or Gingerbread tree or Thebaica or Dum palm. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Hyphaene_thebaica£https://www.google.co.uk/search?tbm=isch&q=Doum palm fruits",A01KP#F01.A063E$F02.A0ELC$F27.A01KP$F33.A0C51,Doum palm fruits,Hyphaene thebaica (L.) Mart.,Gingerbread tree$Thebaica$Dum palm
Live plant organism of the taxonomic group Oxalis frutescens L. The group is relevant for the list of Botanicals. The plant is a member of the family Oxalidaceae. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Oxalis,A159M#F02.A0BA0,Oxalis frutescens L. (as plant),Oxalis frutescens L.,
"Legumes with young pod from the plant classified under the species Pisum sativum L. var. sativum subsp. macrocarpon Ser., commonly known as Podded pea or Sugar pea or Edible-podded pea or Mangetout or Mangetout pea. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Snap_pea£https://www.google.co.uk/search?tbm=isch&q=Podded pea young pod",A00QA#F01.A05HP$F02.A067L$F27.A00QA$F33.A0C51,Podded pea (young pods),Pisum sativum L. var. sativum subsp. macrocarpon Ser.,Sugar pea (young pods)$Edible-podded pea$Mangetout or Mangetout pea
"Live animal of the taxonomic genus Cheirocerus spp., within the Family Pimelodidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Cheirocerus£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Cheirocerus",A0LME#F02.A0EJV,Cheirocerus (generic) (as animal),Cheirocerus spp.,
"Live animal of the taxonomic genus Homaloptera spp., within the Family Balitoridae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Homaloptera£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Homaloptera",A0KTE#F02.A0EJV,Homaloptera (generic) (as animal),Homaloptera spp.,
"Freshwater crustaceans classified under the species Astacus leptodactylus, commonly known as Danube crayfish. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.£https://en.wikipedia.org/wiki/Astacus_leptodactylus£https://www.google.co.uk/search?tbm=isch&q=Danube crayfish",A0FCF#F01.A053H$F02.A0EMF$F27.A0FCF$F33.A0C38,Danube crayfish,Astacus leptodactylus,
"Live animal of the taxonomic genus Aplatophis spp., within the Family Ophichthidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Aplatophis£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Aplatophis",A0MJD#F02.A0EJV,Aplatophis (generic) (as animal),Aplatophis spp.,
Live plant organism of the taxonomic group Veronica beccabunga L. The group is relevant for the list of Botanicals. The plant is a member of the family Plantaginaceae. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Veronica_beccabunga,A161S#F02.A0BA0,Veronica beccabunga L. (as plant),Veronica beccabunga L.,
"Live plant organism of the taxonomic group Talisia esculenta. The plant is a member of the family Sapindaceae, commonly known as Pitomba. The part considered is by default the whole living organism. £https://en.wikipedia.org/wiki/Talisia_esculenta £https://www.worldfloraonline.org/taxon/wfo-0001135264 ",A1A9X#F02.A0EKF,Pitomba (as plant),Talisia esculenta$Meleagrinex pernambucana$Sapindus esculentus,
Live animals of the taxonomic subspecies Larus argentatus argenteus. The animals are commonly known as European Herring Gull (European). The part considered is by default the whole living organism.£https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=5A74964365336A39,A17YN#F02.A0EJX,European Herring Gull (European) (as animal),Larus argentatus argenteus,
"Live animal of the taxonomic species Filimanus heptadactyla, within the Family Polynemidae. The organisms are commonly known as Sevenfinger threadfin or Barbure à sept doigts or Barbudo de siete dedos. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Filimanus-heptadactyla.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Filimanus heptadactyla",A0876#F02.A0EJV,Sevenfinger threadfin (as animal),Filimanus heptadactyla,Barbure à sept doigts$Barbudo de siete dedos
Live animal of the taxonomic species Sterna paradisaea. The animals are commonly known as Arctic Tern. The part considered is by default the whole living organism. £https://www.iucnredlist.org/species/22694629/132065195£https://en.wikipedia.org/wiki/Arctic_tern,A17YV#F02.A0EJX,Arctic Tern (as animal),Sterna paradisaea,
"Live animal of the taxonomic species Leptochela bermudensis Gurney, within the family Pasiphaeidae. The organisms are commonly known as Bermuda glass Shrimp. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=585684£https://en.wikipedia.org/wiki/Pasiphaeidae",A0AC5#F02.A0EJQ,Bermuda glass Shrimp (as animal),Leptochela bermudensis Gurney,
"Live animal of the taxonomic species Crassostrea madrasensis, within the Family Ostreidae. The organisms are commonly known as Indian backwater oyster. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Crassostrea madrasensis£https://en.wikipedia.org/wiki/Crassostrea",A117A#F02.A0EJR,Indian backwater oyster (as animal),Crassostrea madrasensis,
"Live animal of the taxonomic species Bagropsis reinhardti, within the Family Pimelodidae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Bagropsis-reinhardti.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Bagropsis",A0LLT#F02.A0EJV,Bagropsis reinhardti (as animal),Bagropsis reinhardti,
"Live animal of the taxonomic species Centroscyllium fabricii, within the Family Squalidae. The organisms are commonly known as Black dogfish or Aiguillat noir or Tollo negro merga or Black Dogfish. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Centroscyllium-fabricii.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Centroscyllium fabricii",A098D#F02.A0EJV,Black dogfish (as animal),Centroscyllium fabricii,Aiguillat noir$Tollo negro merga$Black Dogfish
"Live animal of the taxonomic species Lophotus lacepede, within the Family Lophotidae. The organisms are commonly known as Crested oarfish. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Lophotus-lacepede.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Lophotus lacepede",A0NCH#F02.A0EJV,Crested oarfish (as animal),Lophotus lacepede,
Live plant organism of the taxonomic group Rosmarinus officinalis L. The group is relevant for the list of Botanicals. The plant is a member of the family Lamiaceae. The plant is commonly known as Rosemary. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Rosmarinus_officinalis,A05PJ#F02.A0EKD,Rosemary (as plant),Rosmarinus officinalis L.,
Gestating sows: Complete feed,A16AH#F02.A0F0Y$F23.A18ED,Gestating sows / Complete feed (feed),,
"The group includes Watercresses or similar leaves sharing the same pesticide MRL, as defined by EU pesticide regulation.£https://en.wikipedia.org/wiki/Leaf_vegetable£https://www.google.co.uk/search?tbm=isch&q=Watercresses",A00NC#F01.A05DY$F02.A0EKV$F27.A00NC$F33.A0C51,Watercresses and similar-,,(d) watercresses
"Live animal of the taxonomic species Oliva reticulata, within the Family Olividae. The organisms are commonly known as Blood olive or olive sanguine. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Oliva reticulata£https://en.wikipedia.org/wiki/Oliva_reticulata",A10KT#F02.A0EJR,Blood olive (as animal),Oliva reticulata,olive sanguine
"Live animal of the taxonomic species Trachinotus maxillosus, within the Family Carangidae. The organisms are commonly known as Guinean pompano or Pompaneau chévron or Pámpano galonero or Guinean Pompano. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Trachinotus-maxillosus.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Trachinotus maxillosus",A09LE#F02.A0EJV,Guinean pompano (as animal),Trachinotus maxillosus,Pompaneau chévron$Pámpano galonero$Guinean Pompano
"Live animal of the taxonomic species Telescopium telescopium, within the Family Potamididae. The organisms are commonly known as Telescope snail or Potamide telescope. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Telescopium telescopium£https://en.wikipedia.org/wiki/Telescopium_telescopium",A10ML#F02.A0EJR,Telescope snail (as animal),Telescopium telescopium,Potamide telescope
Glucose syrup is a purified and concentrated aqueous solution of nutritive saccharides obtained through hydrolysis from starch.,A0BSA#F02.A0F0Y$F23.A07TV,Glucose syrup (feed),,
"Live animal of the taxonomic genus Alloteuthis spp., within the Family Loliginidae. The organisms are commonly known as Alloteuthis squids or Alloteuthis squids nei or Casserons nca or Puntillas nep. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=138138£https://en.wikipedia.org/wiki/Loliginidae",A127B#F02.A0EJR,Alloteuthis squids (generic) (as animal),Alloteuthis spp.,Alloteuthis squids nei$Casserons nca$Puntillas nep
"This facet (of specific interest in the microbiological domain) allows recording the presence of microbiologically high-risk ingredients. More than one descriptor can be applied to each food item, provided they are not contradicting each other.",A0B9E,Risky-ingredient,,
"Live animal of the taxonomic species Taratretis derwentensis, within the Family Pleuronectidae. The organisms are commonly known as Derwent flounder. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Taratretis-derwentensis.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Taratretis derwentensis",A0XRK#F02.A0EJV,Derwent flounder (as animal),Taratretis derwentensis,
"Live animal of the taxonomic species Nassarius gibbosulus, within the Family Nassariidae. The organisms are commonly known as Gibbous nassa or Nasse bossue or Mugarida jorobada. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Nassarius gibbosulus£https://en.wikipedia.org/wiki/Nassarius_gibbosulus",A10SP#F02.A0EJR,Gibbous nassa (as animal),Nassarius gibbosulus,Nasse bossue$Mugarida jorobada
