termCode,termExtendedName,termScopeNote
A06EC,Sugars and similar (as part-nature),"Mono-, di- and short-chained polysaccharides in dry or syrup form. Polyols are also included"
A06ED,Glucose (as part-nature),"Simple sugar (also known as D-glucose, dextrose, or grape sugar) is a simple aldosic monosaccharide found in plants"
A06EE,Mono and disaccharides (as part-nature),Monosaccharides and other carbohydrates formed by condensation of two monosaccharides
A06EF,Honey (as part-nature),Inverted sugar syrup produced by bees using nectar from flowers
A06EG,Syrup (as part-nature),Mostly thick liquid containing sugars and water. Often a mixture of different saccharides is included.
A06EH,Polyol (as part-nature),"Alcohols containing multiple hydroxyl groups, with sweet properties."
A06EJ,Confectionery (as part-nature),"Any type of sugar or chocolate based sweets, usually in relatively small forms, with hard, firm or chewy consistency. Bakery products and desserts are not included in this type of food."
A06EK,Chocolate and similar (as part-nature),"Chocolate (solid product obtained by refining, conching and tempering mixtures of cocoa mass, cocoa butter and eventually other ingredients) in its different types."
A06EL,Chocolate-based product (as part-nature),"Any type of formulated products where chocolate or cacao is the major component (in terms of amount or characterisation), like pralines and other chocolate bonbons"
A06EM,Chocolate imitate product (as part-nature),"Products similar to chocolate, but produced with raw materials different from those defined for chocolate"
A06EN,Soft candy (as part-nature),"Soft sugar based sweets (often with milk or cream, or polysaccharides to provide a chewy, gummy or easily melting structure). Fondants are also covered by this nature"
A06EP,Hard candy (as part-nature),Hard candies made of cooked sugar
A06EQ,Basic sweet masses (as part-nature),Non-bakery masses for preparation or filling of sweets
A06ER,Water-based desserts spoonable (as part-nature),Soft spoonable desserts (sweet liquid phases made creamy or gelled by using polysaccharides or other thickenung / gelling agents) having water as base for the liquid phase
A06ES,Water-based ice creams (as part-nature),Frozen dessert obtained by freezing in form of very fine crystals a thick sweet flavoured liquid based on water.
A06ET,Fat emulsions and blended fats (as part-nature),Mixtures of fats (and eventually water in form of stable emulsion)
A06EX,Cheese (as part-nature),"Mixtures of fats and water in form of stable emulsion, including margarines of different type"
A06EY,Alcoholic beverages (as part-nature),"Beverages containing ethanol, commonly known as alcohol"
A06EZ,Beer and beer-like beverage (as part-nature),"Beer is one of the world's most popular alcoholic beverages, produced by the brewing and fermentation of sugars, mainly derived from malted cereal grains, most commonly malted barley and malted wheat"
A06FA,Wine and wine-like drinks (as part-nature),"Very popular beverages obtained mostly by fermentation of grape juice. In some cases, other fruit juices are used, like apple or pear"
A06FB,Dessert wines (as part-nature),"Particular types of wine, often sweeter than regular wine and with higher alcohol content, used together with desserts"
A06FC,Liqueurs (as part-nature),"Alcoholic compositions including -apart from ethanol- sugar, flavourings and eventually other ingredients"
A06FD,Unsweetened spirits (as part-nature),High alcohol drinks obtained by distillation of alcoholic liquids produced by fermentation of fruits and other vegetable products
A06FE,Mixed alcoholic drinks (as part-nature),Drinks obtained by mixing alcoholic drinks with other beverages and eventually flavouring ingredients
A06FF,Food products for young population (as part-nature),Any type of product specifically targeted at the youngest groups of the population
A06FG,Infant and follow-on formulae (as part-nature),Formulae imitating mother milk or to help moving to a differentiated nutrition
A06FH,Infant formulae (as part-nature),Formulae imitating mother milk to integrate or substitute nursing
A06FJ,Follow-on formulae (as part-nature),Milk-like formulae designed to integrate the diet in infants of more than 6 months adn young children
A06FK,Processed cereal-based food for infants and young children (as part-nature),All products constituted by processed cereals and intended to provide the first cereal source to infants after weaning
A06FL,Ready-to-eat meal for infants and young children (as part-nature),"Mostly cereals, potatoes, vegetables and meat based products (creamy or with pieces) for the first differentiated nutrition of infants and joung children."
A06FM,Food for infants and children not included in regulatory categories (as part-nature),Other foods or beverages specifically formulated for infants or young children and not falling into the previous (regulatory) types
A06FP,Products for non-standard diets (as part-nature),"Types of food specifically produced for particular diets,"
A06FQ,Food for weight reduction (as part-nature),Any type of food formulated in order to reduce appetite and give sense of satiety
A06FR,Food for sporting people (as part-nature),Any type of food formulated in order to help sporting people in performance and recovery
A06FS,Dietary foods for special medical purposes (as part-nature),Any type of food not intended for healthy population but targeted at specific medical needs
A06FT,Food supplements and similar preparations (as part-nature),Any type of substances or compositions used to supplement normal nutrition with specific components either alone or as formulas. The substances may be nutrients (supplements) or biologically active compounds (nutraceuticals)
A06FV,Vitamins (as part-nature),Vitamins either single or in compositions
A06FX,Miscellaneous supplements or fortifying agents (as part-nature),Different substances used as dietary supplement or fortifying agent
A06FY,Bee-produced fortifying agents (as part-nature),Fortifying agents produced by honey bees
A06FZ,Dietary fibre (as part-nature),Fortifying agents containing relevant amounts of dietary fiber
A06GA,Phytochemicals (as part-nature),Fortifying agents produced from herbs or extracted from vegetables
A06GB,"Algae based fortifying agents (e.g. Spirulina, chlorella) (as part-nature)",Supplements or fortifying agents based on or containing algae
A06GC,Composite dishes (as part-nature),"Types of food obtained by combining different foods / food ingredients into a new, complex food. The composition is defined by recipes"
A06GD,"Dishes, incl. Ready to eat meals (excluding soups and salads) (as part-nature)",Any type of composite dishes apart from soups and salads
A06GE,"Dishes (excluding pasta or rice dishes, sandwiches and pizza) (as part-nature)","All non-soup/salad composite dishes excluded pasta dishes, rice dishes, sandwiches, pizza, finger food and similar"
A06GF,Potato based dishes (as part-nature),Composite dishes where the dominant ingredient are (or are considered to be) potatoes
A06GG,Legumes based dishes (as part-nature),Composite dishes where the dominant ingredient are (or are considered to be) legumes
A06GH,Meat based dishes (as part-nature),Composite dishes where the dominant ingredient are (or are considered to be) meat and related products
A06GJ,Fish and seafood based dishes (as part-nature),Composite dishes where the dominant ingredient are (or are considered to be) fish and / or seafood
A06GK,Vegetable based dishes (as part-nature),Composite dishes where the dominant ingredient are (or are considered to be) vegetables
A06GL,Egg based dishes (as part-nature),Composite dishes where the dominant ingredient are (or are considered to be) eggs
A06GM,Mushroom based dishes (as part-nature),Composite dishes where the dominant ingredient are (or are considered to be) mushrooms
A06GN,"Sandwiches, pizza and other stuffed bread-like cereal products (as part-nature)","Sandwiches, pizza and similar (all savoury products where a bread-like part is stuffed or topped with other foods)"
A06GP,Sandwich and sandwich-like dishes (as part-nature),"Any type of sandwiches, whatever is the filling"
A06GQ,Pizza and pizza-like dishes (as part-nature),"Any type of pizza, whatever is the filling or the variation in form (small, large, calzone etc)"
A06GR,Finger food (as part-nature),Any type of canapé or mini-sandwiches
A06GS,Pastas and rice (or other cereal) –based dishes (as part-nature),"Any type of composite dishes based on pasta or rice (cooked in water), with any type of savoury sauce or similar"
A06GT,Pasta-based dishes (cooked) (as part-nature),Any type of composite dishes based on pasta. Pasta may be of any sort and the sauce or taste ingredients may be of any type
A06GV,Rice based dishes (as part-nature),Any type of composite food based on rice. Rice may be of any sort and the sauce or taste ingredients may be of any type
A06GX,Soups and salads (as part-nature),Any type of composite soups and salads
A06GY,Soups ready-to-eat (as part-nature),"any type of soups, generally warm food made by combining ingredients such as meat and vegetables with stock, juice, water, or another liquid. Hot soups are additionally characterized by boiling solid ingredients in liquids in a pot until the flavors are extracted, forming a broth."
A06GZ,Salads (as part-nature),"Salads are a wide variety of dishes, including vegetable salads; salads of pasta, legumes, eggs, or grains; mixed salads incorporating meat, poultry, or seafood; and fruit salads.They may include a mixture of cold and hot, often including raw vegetables or fruits. Green salads include leaf lettuce and leafy vegetables with a sauce or dressing. Other salads are based on pasta, noodles, or gelatin. Most salads are traditionally served cold."
A06HA,"Seasoning, sauces and condiments (as part-nature)",Many different types of preparations that are intended to provide taste to a food or a composite dish
A06HB,Seasoning mixes (as part-nature),"Mixes of flavouring ingredients, like salt, spices etc…"
A06HC,Savoury extracts and ingredients (as part-nature),Extracts of different foods and other ingredients used to enhance the flavour and taste to other foods. Sauces and condiments are in a different group
A06HD,Gravy ingredients (as part-nature),"Ingredients, usually in powder form, to prepare gravy (sauce made from the juices that run naturally from meat or vegetables during cooking, with addition of other ingredients)"
A06HE,Savoury sauces (as part-nature),Any type of sauces used in savoury dishes
A06HF,Condiments (as part-nature),Any type of condiment sauces or ingredients usually provided separately together with composite dishes to allow flavouring according to each individual's preferences. Usually industrially packaged and shelf stable
A06HG,Chutneys (as part-nature),"Fresh or preserved savoury preparations with vegetables, spices and fruits, often pickled / marinated. Many ingredients may be present, like vinegar or sugars. They are used to provide particular flavour to meat or other dishes. Sometimes sugar-preserved vegeetables of fruit are used."
A06HH,Dessert sauces/toppings (as part-nature),Sweet sauces used as topping or flavouring ingredient in sweet dishes
A06HJ,Soft drinks (as part-nature),Drinks (often sweet and acidic) based on water and flavouring ingredients. They may be carbonated or not. Colas are in a separate group
A06HK,Functional drink (as part-nature),"any type of soft drinks where the formulation includes ""functional"" ingredients, that is ingredients having biologically relevant properties."
A06HM,Meat and dairy imitates (as part-nature),"Food preparations created as imitations of common foods, like dairy products and meat, using alternative ingredients (e.g. of plant origin instead of animal origin)"
A06HN,Meat imitate (as part-nature),Formulated foods imitating the appearance and use of meat
A06HP,Dairy imitate (as part-nature),Formulated foods imitating the appearance and use of dairy products
A06HQ,Additional characteristics,A set of descriptors specifying further characteristics related to the nature of food
A06HR,Integral /not refined,"Product not subject to usual refinement processes, thus keeping components that are separated in refined products"
A06HS,Sparkling,"Liquid beverage containing carbon dioxide (either naturally present or added), thus producing small bubbles at room pressure"
A06HT,Weak strength,"Context sensitive descriptor, referring to the degree of presence of one or more characterising components of a food (may refer to concentration of extracts, of alcohol etc.). In this case the level is less than the average expected in absence of information."
A06HV,Average strength,"Context sensitive descriptor, referring to the degree of presence of one or more characterising components of a food (may refer to concentration of extracts, of alcohol etc.). In this case the level is in line with the average expected in absence of information."
A06HX,Strong,"Context sensitive descriptor, referring to the degree of presence of one or more characterising components of a food (may refer to concentration of extracts, of alcohol etc.). In this case the level is higher than the average expected in absence of information."
A06HY,"Whole/unsplit form, including artificial forms","This term is used when the food is in its original form and has not been divided in pieces. Removing non edible parts (like skin, core etc.) does not influence this descriptor, provided that the whole, entire edible part remains. Puffed, rolled, flaked, extruded forms are included here. For tablets and bars-tables, a lower term level is also available"
A06HZ,Primal cuts / fillets / halves or quarters,"A primal cut is a piece of meat initially separated from the carcass during butchering. This descriptors covers them and also other parts resulting from first cuts of food items (like half peaches, quarter of chicken and similar). Fish fillets are also included in this descriptor"
A06JA,"Slices, steaks or other flat cuts",Cuts where one dimension is much less than the other two
A06JB,Dices / sticks,Cubes or similar cuts
A06JC,Fragments / granules / splinters,Clearly recognisable pieces (normally referred to solid food) in the order of magnitude of few mm
A06JD,Powder,"Solid food in form of very small particles, difficult to recognise singularly without optical instruments"
A06JE,coarse paste / minced,"Paste coarsely divided, where particles are still recognisable at naked eye"
A06JF,Paste,"Texture of any moist but fairly stiff mixture, typically made from a powder dispersed in a liquid or by mincing food with somehow soft but firm texture"
A06JG,Puree-type,"Creamy-pasty aspect of vegetables, fruit, meat, or fish, ad example obtained when they are boiled and passed through a sieve. In broad sense: any smooth cream-pulp of liquidized food, esp. of fruit or vegetables"
A06JH,Tablets,"Small, flat, or compressed piece of a solid substance, of rectangular for circular form; generally obtained from powders compressed into a small disc or lozenge"
A06JJ,Bars / tables,"Approximaltely solid food shaped into table or bar forms, like chocolate, nougat and similar"
A06JK,Semisolid-semiliquid,Consistence half-way between solid and liquid (e.g. custard or some very soft cheeses)
A06JL,Liquid,"Materials in a condition that allows molecules or particles to freely move over each other, so that it assumes quickly the form of the recipient where it is poured. (e.g. water, oil, milk…)"
A06JM,With solid particles/pieces,"Descriptor applicable to all non-solid foods when they contain solid particles (e.g. soup with grains, yoghurt with fruit pieces)."
A06XF,In broth,The food item bearing this facet descriptor is packed in a container partially or totally filled up with broth
A06XG,In cream or milk,The food item bearing this facet descriptor is packed in a container partially or totally filled up with cream or milk
A06XH,In animal fat,The food item bearing this facet descriptor is packed in a container partially or totally filled up with animal fat
A06XJ,In vegetable oil,The food item bearing this facet descriptor is packed in a container partially or totally filled up with vegetable oil
A06XK,In olive oil,The food item bearing this facet descriptor is packed in a container partially or totally filled up with olive oil
A06XL,In vegetable oils other than olive,The food item bearing this facet descriptor is packed in a container partially or totally filled up with vegetable oils other than olive
A06XM,In fruit/vegetable juice,The food item bearing this facet descriptor is packed in a container partially or totally filled up with fruit/vegetable juice
A06XN,In gelatine-jelly,The food item bearing this facet descriptor is packed in a container partially or totally filled up with gelatine-jelly
A06XP,In savoury gelatine,The food item bearing this facet descriptor is packed in a container partially or totally filled up with savoury gelatine
A06XQ,In sweet gelatine (jelly),The food item bearing this facet descriptor is packed in a container partially or totally filled up with sweet gelatine (jelly)
A06XR,In gravy or savoury sauce,The food item bearing this facet descriptor is packed in a container partially or totally filled up with gravy or savoury sauce
A06XS,In sweet sauce,The food item bearing this facet descriptor is packed in a container partially or totally filled up with sweet sauce
A06XT,In salt brine,The food item bearing this facet descriptor is packed in a container partially or totally filled up with salt brine
A06XV,In acidified salt brine,The food item bearing this facet descriptor is packed in a container partially or totally filled up with acidified salt brine
A06XX,In sweetened salt brine,The food item bearing this facet descriptor is packed in a container partially or totally filled up with sweetened salt brine
A06XY,In concentrated sweet liquid-syrup,The food item bearing this facet descriptor is packed in a container partially or totally filled up with concentrated sweet liquid-syrup
A06XZ,In diluted sweet liquid-syrup,The food item bearing this facet descriptor is packed in a container partially or totally filled up with diluted sweet liquid-syrup
A06YA,In wine,The food item bearing this facet descriptor is packed in a container partially or totally filled up with wine
A06YB,In alcohol-spirit-liqueur,The food item bearing this facet descriptor is packed in a container partially or totally filled up with alcohol-spirit-liqueur
A06YC,"In vinegar, pickles and similar","The food item bearing this facet descriptor is packed in a container partially or totally filled up with vinegar, pickles and similar"
A06YD,In vinegar,The food item bearing this facet descriptor is packed in a container partially or totally filled up with vinegar
A06YE,In vinegar and oil,The food item bearing this facet descriptor is packed in a container partially or totally filled up with vinegar and oil
A06YF,In vinegar with sugar,The food item bearing this facet descriptor is packed in a container partially or totally filled up with vinegar with sugar
A06YG,In water,The food item bearing this facet descriptor is packed in a container partially or totally filled up with water
A06YH,< 0.1 % fat,The food item has a fat content less than 0.1%
A06YJ,0.1 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 0.1 % (weight/weight)"
A06YK,0.2 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 0.2 % (weight/weight)"
A06YL,0.3 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 0.3 % (weight/weight)"
A06YM,0.4 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 0.4 % (weight/weight)"
A06YN,0.5 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 0.5 % (weight/weight)"
A06YP,0.6 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 0.6 % (weight/weight)"
A06YQ,0.7 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 0.7 % (weight/weight)"
A06YR,0.8 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 0.8 % (weight/weight)"
A06YS,0.9 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 0.9 % (weight/weight)"
A06YT,1 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 1 % (weight/weight)"
A06YV,1.1 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 1.1 % (weight/weight)"
A06YX,1.2 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 1.2 % (weight/weight)"
A06YY,1.3 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 1.3 % (weight/weight)"
A06YZ,1.4 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 1.4 % (weight/weight)"
A06ZA,1.5 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 1.5 % (weight/weight)"
A06ZB,1.6 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 1.6 % (weight/weight)"
A06ZC,1.7 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 1.7 % (weight/weight)"
A06ZD,1.8 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 1.8 % (weight/weight)"
A06ZE,1.9 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 1.9 % (weight/weight)"
A06ZF,2 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 2 % (weight/weight)"
A06ZG,2.1 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 2.1 % (weight/weight)"
A06ZH,2.2 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 2.2 % (weight/weight)"
A06ZJ,2.3 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 2.3 % (weight/weight)"
A06ZK,2.4 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 2.4 % (weight/weight)"
A06ZL,2.5 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 2.5 % (weight/weight)"
A06ZM,2.6 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 2.6 % (weight/weight)"
A06ZN,2.7 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 2.7 % (weight/weight)"
A06ZP,2.8 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 2.8 % (weight/weight)"
A06ZQ,2.9 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 2.9 % (weight/weight)"
A06ZR,3 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 3 % (weight/weight)"
A06ZS,3.1 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 3.1 % (weight/weight)"
A06ZT,3.2 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 3.2 % (weight/weight)"
A06ZV,3.3 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 3.3 % (weight/weight)"
A06ZX,3.4 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 3.4 % (weight/weight)"
A06ZY,3.5 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 3.5 % (weight/weight)"
A06ZZ,3.6 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 3.6 % (weight/weight)"
A070A,3.7 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 3.7 % (weight/weight)"
A070B,3.8 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 3.8 % (weight/weight)"
A070C,3.9 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 3.9 % (weight/weight)"
A070D,4 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 4 % (weight/weight)"
A070E,4.1 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 4.1 % (weight/weight)"
A070F,4.2 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 4.2 % (weight/weight)"
A070G,4.3 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 4.3 % (weight/weight)"
A070H,4.4 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 4.4 % (weight/weight)"
A070J,4.5 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 4.5 % (weight/weight)"
A070K,4.6 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 4.6 % (weight/weight)"
A070L,4.7 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 4.7 % (weight/weight)"
A070M,4.8 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 4.8 % (weight/weight)"
A070N,4.9 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 4.9 % (weight/weight)"
A070P,5 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 5 % (weight/weight)"
A070Q,5.1 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 5.1 % (weight/weight)"
A070R,5.2 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 5.2 % (weight/weight)"
A070S,5.3 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 5.3 % (weight/weight)"
A070T,5.4 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 5.4 % (weight/weight)"
A070V,5.5 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 5.5 % (weight/weight)"
A070X,5.6 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 5.6 % (weight/weight)"
A070Y,5.7 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 5.7 % (weight/weight)"
A070Z,5.8 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 5.8 % (weight/weight)"
A071A,5.9 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 5.9 % (weight/weight)"
A071B,6 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 6 % (weight/weight)"
A071C,6.1 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 6.1 % (weight/weight)"
A071D,6.2 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 6.2 % (weight/weight)"
A071E,6.3 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 6.3 % (weight/weight)"
A071F,6.4 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 6.4 % (weight/weight)"
A071G,6.5 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 6.5 % (weight/weight)"
A071H,6.6 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 6.6 % (weight/weight)"
A071J,6.7 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 6.7 % (weight/weight)"
A071K,6.8 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 6.8 % (weight/weight)"
A071L,6.9 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 6.9 % (weight/weight)"
A071M,7 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 7 % (weight/weight)"
A071N,7.1 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 7.1 % (weight/weight)"
A071P,7.2 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 7.2 % (weight/weight)"
A071Q,7.3 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 7.3 % (weight/weight)"
A071R,7.4 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 7.4 % (weight/weight)"
A071S,7.5 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 7.5 % (weight/weight)"
A071T,7.6 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 7.6 % (weight/weight)"
A071V,7.7 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 7.7 % (weight/weight)"
A071X,7.8 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 7.8 % (weight/weight)"
A071Y,7.9 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 7.9 % (weight/weight)"
A071Z,8 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 8 % (weight/weight)"
A072A,8.1 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 8.1 % (weight/weight)"
A072B,8.2 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 8.2 % (weight/weight)"
A072C,8.3 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 8.3 % (weight/weight)"
A072D,8.4 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 8.4 % (weight/weight)"
A072E,8.5 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 8.5 % (weight/weight)"
A072F,8.6 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 8.6 % (weight/weight)"
A072G,8.7 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 8.7 % (weight/weight)"
A072H,8.8 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 8.8 % (weight/weight)"
A072J,8.9 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 8.9 % (weight/weight)"
A072K,9 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 9 % (weight/weight)"
A072L,9.1 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 9.1 % (weight/weight)"
A072M,9.2 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 9.2 % (weight/weight)"
A072N,9.3 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 9.3 % (weight/weight)"
A072P,9.4 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 9.4 % (weight/weight)"
A072Q,9.5 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 9.5 % (weight/weight)"
A072R,9.6 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 9.6 % (weight/weight)"
A072S,9.7 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 9.7 % (weight/weight)"
A072T,9.8 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 9.8 % (weight/weight)"
A072V,9.9 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 9.9 % (weight/weight)"
A072X,10 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 10 % (weight/weight)"
A072Y,11 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 11 % (weight/weight)"
A072Z,12 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 12 % (weight/weight)"
A073A,13 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 13 % (weight/weight)"
A073B,14 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 14 % (weight/weight)"
A073C,15 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 15 % (weight/weight)"
A073D,16 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 16 % (weight/weight)"
A073E,17 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 17 % (weight/weight)"
A073F,18 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 18 % (weight/weight)"
A073G,19 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 19 % (weight/weight)"
A073H,20 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 20 % (weight/weight)"
A073J,21 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 21 % (weight/weight)"
A073K,22 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 22 % (weight/weight)"
A073L,23 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 23 % (weight/weight)"
A073M,24 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 24 % (weight/weight)"
A073N,25 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 25 % (weight/weight)"
A073P,26 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 26 % (weight/weight)"
A073Q,27 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 27 % (weight/weight)"
A073R,28 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 28 % (weight/weight)"
A073S,29 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 29 % (weight/weight)"
A073T,30 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 30 % (weight/weight)"
A073V,31 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 31 % (weight/weight)"
A073X,32 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 32 % (weight/weight)"
A073Y,33 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 33 % (weight/weight)"
A073Z,34 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 34 % (weight/weight)"
A074A,35 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 35 % (weight/weight)"
A074B,36 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 36 % (weight/weight)"
A074C,37 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 37 % (weight/weight)"
A074D,38 % fat,"The food item has a fat content which, when rounded with the standard rules of rounding, equals 38 % (weight/weight)"
