ENFOODNAME,ENFOODNAME_SIMPLE,FACETS,BASETERM_NAME,SCIENTIFIC_NAME,COMMON_NAME
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fishes (as part-nature) (This nature refers to live fishes)",part: Live fishes (as part-nature),A0FLJ#F02.A0EJV,Redspotted catshark (as animal),Schroederichthys chilensis,Holbiche à taches rouges$Pintarroja chilena
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Candied or sugar preserved fruits (as part-nature) (Fruits preserved with sugar (e.g. with heavy syrups or by candying)) | process (This facet allows recording different characteristics of the food: preservation treatments a food item underwent, technological steps or treatments applied while producing a food item, the way a food item has been heat treated before consumption and the way a food item has been prepared for final consumption (particularly needed for consumption surveys and includes preparation (like battering or breading) as well as heat treatment steps). More (none contradicting) descriptors can be applied to each entry.): Preserving with sugars (Preserving by reducing the water activity using sugars (particularly sucrose)) | legis (This facet allows recording the food additives classes as reported in the legislation in order. Only one descriptor from this facet can be added to each entry.): FA-05.2 Other confectionery including breath refreshening microsweets (Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008))",part: Candied or sugar preserved fruits (as part-nature) | process: Preserving with sugars | legis: FA-05.2 Other confectionery including breath refreshening microsweets,A01PZ#F02.A0ELT$F04.A0BY6$F27.A01DP$F28.A07JQ$F33.A0C4E,"Candied fruit, pear",,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live birds (as part-nature) (This nature refers to live birds)",part: Live birds (as part-nature),A1ABJ#F02.A0EJX,Rufous Sibia (as animal),Heterophasia capistrata,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Preserved or partly preserved sausages (as part-nature) (Sausages having been processed to allow their preservation) | process (This facet allows recording different characteristics of the food: preservation treatments a food item underwent, technological steps or treatments applied while producing a food item, the way a food item has been heat treated before consumption and the way a food item has been prepared for final consumption (particularly needed for consumption surveys and includes preparation (like battering or breading) as well as heat treatment steps). More (none contradicting) descriptors can be applied to each entry.): Cooking and similar thermal preparation processes (Treatment covered in detail by a group of facet descriptors collecting all thermal preparation steps not strictly related to preservation, but related to the way the food is prepared e.g. for consumption.) | process (This facet allows recording different characteristics of the food: preservation treatments a food item underwent, technological steps or treatments applied while producing a food item, the way a food item has been heat treated before consumption and the way a food item has been prepared for final consumption (particularly needed for consumption surveys and includes preparation (like battering or breading) as well as heat treatment steps). More (none contradicting) descriptors can be applied to each entry.): Mincing / chopping / cutting (Cutting or chopping into very small pieces (usually said for soft solids), by using one or more knives.) | process (This facet allows recording different characteristics of the food: preservation treatments a food item underwent, technological steps or treatments applied while producing a food item, the way a food item has been heat treated before consumption and the way a food item has been prepared for final consumption (particularly needed for consumption surveys and includes preparation (like battering or breading) as well as heat treatment steps). More (none contradicting) descriptors can be applied to each entry.): Seasoning (Modification of the organoleptic properties of food by addition of mixtures of spices and similar. The process has also partial preservation effects in some cases. It relates with curing, but does not include the biological ripening) | legis (This facet allows recording the food additives classes as reported in the legislation in order. Only one descriptor from this facet can be added to each entry.): FA-08.3.2 Heat-treated meat products (Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008))",part: Preserved or partly preserved sausages (as part-nature) | process: Cooking and similar thermal preparation processes | process: Mincing / chopping / cutting | process: Seasoning | legis: FA-08.3.2 Heat-treated meat products,A025R#F02.A06AV$F28.A0BA1$F28.A07KY$F28.A0CRH$F33.A0C3H,Bologna-type sausage,,párizsi$pariser$bologna sausage
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live plants (as part-nature) (The facet descriptor refers to the entire plant including all its parts)",part: Live plants (as part-nature),A139E#F02.A0BA0,Haemodoraceae - family (as plant),Haemodoraceae (family),
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live birds (as part-nature) (This nature refers to live birds)",part: Live birds (as part-nature),A1AFH#F02.A0EJX,Asian Rosy-Finch (as animal),Leucosticte arctoa,Asian Rosy Finch
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Fish meat (as part-nature) (For large fishes, muscle meat (and annexed tissues) of fish, while for smaller fishes, it is the entire cleaned fish or its fillets.) | legis (This facet allows recording the food additives classes as reported in the legislation in order. Only one descriptor from this facet can be added to each entry.): FA-09.1.1 Unprocessed fish (Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008))",part: Fish meat (as part-nature) | legis: FA-09.1.1 Unprocessed fish,A028T#F01.A04XJ$F02.A0EMD$F27.A028T$F33.A0C39,Chum salmon,Oncorhynchus keta,Keta salmon
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fishes (as part-nature) (This nature refers to live fishes)",part: Live fishes (as part-nature),A0K2Z#F02.A0EJV,Acrossocheilus (generic) (as animal),Acrossocheilus spp.,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live molluscs (as part-nature) (This nature refers to live molluscs)",part: Live molluscs (as part-nature),A11FC#F02.A0EJR,Sunetta (generic) (as animal),Sunetta spp.,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live crustaceans (as part-nature) (This nature refers to live crustaceans)",part: Live crustaceans (as part-nature),A0A3D#F02.A0EJQ,Spinous spider crab (as animal),Maja squinado,Araignée européenne$Centolla europea
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fishes (as part-nature) (This nature refers to live fishes)",part: Live fishes (as part-nature),A0859#F02.A0EJV,Sakhalin stickleback (as animal),Pungitius tymensis Nikolskii$Pungitius pungitius tymensis Nikolskii,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Fruits used as fruit (as part-nature) (Fleshy seed-associated structures of a plant that are sweet or sour and edible in the raw state, often eaten at the end of a meal) | legis (This facet allows recording the food additives classes as reported in the legislation in order. Only one descriptor from this facet can be added to each entry.): FA-04.1 Unprocessed fruit and vegetables (Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008))",part: Fruits used as fruit (as part-nature) | legis: FA-04.1 Unprocessed fruit and vegetables,A01CD#F01.A05XD$F02.A0ELC$F27.A01CD$F33.A0C51,Mandarins,Citrus reticulata Blanco$Citrus deliciosa Ten.,Mandarin orange$Tangerine
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live molluscs (as part-nature) (This nature refers to live molluscs)",part: Live molluscs (as part-nature),A116D#F02.A0EJR,Saccostrea (generic) (as animal),Saccostrea spp.,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fishes (as part-nature) (This nature refers to live fishes)",part: Live fishes (as part-nature),A0LTA#F02.A0EJV,Hatcheria macraei (as animal),Hatcheria macraei,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live molluscs (as part-nature) (This nature refers to live molluscs)",part: Live molluscs (as part-nature),A0AZ2#F02.A0EJR,Spotted Mussel (as animal),Musculus marmoratus Forbes,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fishes (as part-nature) (This nature refers to live fishes)",part: Live fishes (as part-nature),A0R8X#F02.A0EJV,Cyprichromis (generic) (as animal),Cyprichromis spp.,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Other slaughtering products (as part-nature) (The facet descriptor refers to all those parts of the body having a muscular or connective nature) | legis (This facet allows recording the food additives classes as reported in the legislation in order. Only one descriptor from this facet can be added to each entry.): FA-08.1 Fresh meat, excluding meat preparations as defined by Regulation (EC) N0 853/2004 (Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008))","part: Other slaughtering products (as part-nature) | legis: FA-08.1 Fresh meat, excluding meat preparations as defined by Regulation (EC) N0 853/2004",A020R#F01.A0F1V$F02.A0BYL$F27.A020R$F33.A0C3M,Bovine other slaughtering products,,Other tissues from bovine
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live birds (as part-nature) (This nature refers to live birds)",part: Live birds (as part-nature),A187T#F02.A0EJX,Albatrosses (as animal),Diomedeidae (family),
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Leaves (and eventually other minor parts) used for infusions or hot drinks (as part-nature) (Plants used, for their taste and or active principles for hot drinks or infusions) | legis (This facet allows recording the food additives classes as reported in the legislation in order. Only one descriptor from this facet can be added to each entry.): FA-14.1.5.2 Other (Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008))",part: Leaves (and eventually other minor parts) used for infusions or hot drinks (as part-nature) | legis: FA-14.1.5.2 Other,A0D5V#F01.A0E5G$F02.A0EKX$F27.A0D5V$F33.A0C1Q,Downy hemp nettle infusion leaves,Galeopsis segetum Neck.,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fishes (as part-nature) (This nature refers to live fishes)",part: Live fishes (as part-nature),A0TMS#F02.A0EJV,Mangarinus waterousi (as animal),Mangarinus waterousi,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fishes (as part-nature) (This nature refers to live fishes)",part: Live fishes (as part-nature),A0TCK#F02.A0EJV,Austrolethops (generic) (as animal),Austrolethops spp.,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Bulb / clove (as part-nature) (A bulb is a short stem with fleshy leaves or leaf bases. The leaves often function as food storage organs during dormancy. Cloves are segments of multiple bulbs.) | legis (This facet allows recording the food additives classes as reported in the legislation in order. Only one descriptor from this facet can be added to each entry.): FA-04.1 Unprocessed fruit and vegetables (Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008))",part: Bulb / clove (as part-nature) | legis: FA-04.1 Unprocessed fruit and vegetables,A00HA#F01.A05BV$F02.A067A$F27.A00HA$F33.A0C51,Pearl onion,Allium ampeloprasum L. var. ampeloprasum$Allium porrum L.,"Garlic, great-headed$elephant garlic$kurrat"
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fishes (as part-nature) (This nature refers to live fishes)",part: Live fishes (as part-nature),A0YCG#F02.A0EJV,Whitespotted pygmy filefish (as animal),Rudarius ercodes,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live mammals (as part-nature) (This nature refers to live mammals)",part: Live mammals (as part-nature),A056Q#F02.A0EJN,Reindeer (as animal),Rangifer tarandus L.,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fishes (as part-nature) (This nature refers to live fishes)",part: Live fishes (as part-nature),A09A3#F02.A0EJV,Copper shark (as animal),Carcharhinus brachyurus,Requin cuivre$Tiburón cobrizo
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live molluscs (as part-nature) (This nature refers to live molluscs)",part: Live molluscs (as part-nature),A104J#F02.A0EJR,Littoraria (generic) (as animal),Littoraria spp.,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Rice based dishes (as part-nature) (Any type of composite food based on rice. Rice may be of any sort and the sauce or taste ingredients may be of any type) | process (This facet allows recording different characteristics of the food: preservation treatments a food item underwent, technological steps or treatments applied while producing a food item, the way a food item has been heat treated before consumption and the way a food item has been prepared for final consumption (particularly needed for consumption surveys and includes preparation (like battering or breading) as well as heat treatment steps). More (none contradicting) descriptors can be applied to each entry.): Cooking and similar thermal preparation processes (Treatment covered in detail by a group of facet descriptors collecting all thermal preparation steps not strictly related to preservation, but related to the way the food is prepared e.g. for consumption.)",part: Rice based dishes (as part-nature) | process: Cooking and similar thermal preparation processes,A041F#F02.A06GV$F04.A001D$F28.A0BA1,Risotto,,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live plants (as part-nature) (The facet descriptor refers to the entire plant including all its parts)",part: Live plants (as part-nature),A13RD#F02.A0BA0,Aspidosperma quebracho-blanco Schltdl. (as plant),Aspidosperma quebracho-blanco Schltdl.,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live plants (as part-nature) (The facet descriptor refers to the entire plant including all its parts)",part: Live plants (as part-nature),A13AG#F02.A0BA0,Malpighiaceae - family (as plant),Malpighiaceae (family),
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fishes (as part-nature) (This nature refers to live fishes)",part: Live fishes (as part-nature),A0RAJ#F02.A0EJV,Oreochromis saka (as animal),Oreochromis saka,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live birds (as part-nature) (This nature refers to live birds)",part: Live birds (as part-nature),A175L#F02.A0EJX,Common Gull (as animal),Larus canus,Mew Gull
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fishes (as part-nature) (This nature refers to live fishes)",part: Live fishes (as part-nature),A0KQL#F02.A0EJV,Acantopsis (generic) (as animal),Acantopsis spp.,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live birds (as part-nature) (This nature refers to live birds)",part: Live birds (as part-nature),A183R#F02.A0EJX,Eurasian Nuthatch (as animal),Sitta europaea,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fishes (as part-nature) (This nature refers to live fishes)",part: Live fishes (as part-nature),A0HCG#F02.A0EJV,Esox (generic) (as animal),Esox spp.,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live plants for spices (as part-nature) (This nature refers to live plants for spices)",part: Live plants for spices (as part-nature),A05VK#F02.A0EKE,Ginger (as plant),Zingiber officinale Roscoe,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fishes (as part-nature) (This nature refers to live fishes)",part: Live fishes (as part-nature),A0LDP#F02.A0EJV,Pylodictis (generic) (as animal),Pylodictis spp.,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live birds (as part-nature) (This nature refers to live birds) | fpurpose (This facet allows recording the purpose of farming, keeping or breeding (e.g. milk production, egg production). More than one descriptor can be applied to each entry, provided they are not contradicting each other.): Meat production purpose (Animals farmed for meat production purposes) | animage (This facet allows recording the classes of the animal used in legislation or in the practice, based on age or development stage. More than one descriptor can be applied to each entry, provided they are not contradicting each other.): Adult bird (Birds having reached the physical maturity)",part: Live birds (as part-nature) | fpurpose: Meat production purpose | animage: Adult bird,A0CCJ#F01.A058G$F02.A0EJX$F29.A0C7G$F31.A0C8P,Pheasant fattening animal (as animal),,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live plants (as part-nature) (The facet descriptor refers to the entire plant including all its parts)",part: Live plants (as part-nature),A15BX#F02.A0BA0,Petunia violacea Lindl. (as plant),Petunia violacea Lindl.,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fishes (as part-nature) (This nature refers to live fishes)",part: Live fishes (as part-nature),A0XAG#F02.A0EJV,Triglopsis (generic) (as animal),Triglopsis spp.,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live molluscs (as part-nature) (This nature refers to live molluscs)",part: Live molluscs (as part-nature),A10ZD#F02.A0EJR,Odontocymbiola (generic) (as animal),Odontocymbiola spp.,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live molluscs (as part-nature) (This nature refers to live molluscs)",part: Live molluscs (as part-nature),A11ED#F02.A0EJR,Tiar venus (as animal),Placamen tiara,Vénus tiare
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fishes (as part-nature) (This nature refers to live fishes)",part: Live fishes (as part-nature),A0QSZ#F02.A0EJV,Cape stumpnose (as animal),Rhabdosargus holubi,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live crustaceans (as part-nature) (This nature refers to live crustaceans)",part: Live crustaceans (as part-nature),A0AJP#F02.A0EJQ,Yellowleg Pandalid (as animal),Pandalus tridens Rathbun,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live molluscs (as part-nature) (This nature refers to live molluscs)",part: Live molluscs (as part-nature),A11KE#F02.A0EJR,Pacific bean donax (as animal),Donax faba,Flion radieux
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live molluscs (as part-nature) (This nature refers to live molluscs)",part: Live molluscs (as part-nature),A11CT#F02.A0EJR,Hiant venus (as animal),Katelysia hiantina,Vénus sillonnée
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fishes (as part-nature) (This nature refers to live fishes)",part: Live fishes (as part-nature),A0QTR#F02.A0EJV,Bronze seabream (as animal),Pachymetopon grande,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live insects and arachnids (as part-nature) (This nature refers to live insects and arachnids)",part: Live insects and arachnids (as part-nature),A16TG#F02.A0EJP,Bumble bees (as animal),Bombus,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fishes (as part-nature) (This nature refers to live fishes)",part: Live fishes (as part-nature),A0KXQ#F02.A0EJV,Diplomystidae (as animal),Diplomystidae,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fishes (as part-nature) (This nature refers to live fishes)",part: Live fishes (as part-nature),A0T6P#F02.A0EJV,Cave gudgeon (as animal),Milyeringa veritas,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live molluscs (as part-nature) (This nature refers to live molluscs)",part: Live molluscs (as part-nature),A056A#F02.A0EJR,Common octopus (as animal),Octopus vulgaris,"Pieuvre$Pulpo común$Octopus, Common"
