ENFOODNAME,ENFOODNAME_SIMPLE,FACETS,BASETERM_NAME,SCIENTIFIC_NAME,COMMON_NAME
Eggs and egg-related,Eggs and egg-related,A031E#F02.A06BQ,Eggs and egg products,,
LIVE MOLLUSCS,Live molluscs,A0B2V#F02.A0EJR,Japanese spineless cuttlefish (as animal),Sepiella japonica,Sépia inerme japonaise$Sepia inerme japonesa
LIVE FISHES,Live fishes,A0G3Y#F02.A0EJV,Big skate (as animal),Raja binoculata,
live fishes,Live fishes,A0VLV#F02.A0EJV,Barca snakehead (as animal),Channa barca,
live molluscs,Live molluscs,A108R#F02.A0EJR,Adanson's gibbula (as animal),Gibbula adansoni,Troque d'Adanson$Peonza de Adanson
Live plants,Live plants,A149Q#F02.A0BA0,Cyathea glabra (Blume) Copel. (as plant),Cyathea glabra (Blume) Copel.$Alsophila glabra (Blume) Hook.,
live crustaceans,Live crustaceans,A100S#F02.A0EJQ,Libinia (generic) (as animal),Libinia spp.,
LIVE FISHES,Live fishes,A098N#F02.A0EJV,Sawsharks - Pliotrema (generic) (as animal),Pliotrema spp.,
live birds,Live birds,A17NT#F02.A0EJX,Yellowhammer (as animal),Emberiza citrinella,
"Ripened Cheese, Hard, Milk, Ripening, Cheesemaking, Fa-01.7.2 Ripened Cheese","Ripened cheese, Hard, Milk, Ripening, Cheesemaking, FA-01.7.2 Ripened cheese",A02ZQ#F02.A06BN$F10.A0CJP$F27.A02LT$F28.A0C6F$F28.A0C6E$F33.A0C5F,"Cheese, grana padano",,
live fishes,Live fishes,A0JHK#F02.A0EJV,Brycinus luteus (as animal),Brycinus luteus,
live fishes,Live fishes,A0VJL#F02.A0EJV,Parahypsos paytensis (as animal),Parahypsos paytensis,
LIVE FISHES,Live fishes,A0SPG#F02.A0EJV,Zoarcoidei (as animal),ZOARCOIDEI,
Live fishes,Live fishes,A0THQ#F02.A0EJV,Ego (generic) (as animal),Ego spp.,
live fishes,Live fishes,A0R4V#F02.A0EJV,Short boarfish (as animal),Parazanclistius hutchinsi,
CHEMICAL ELEMENTS,Chemical elements,A0EVY#F02.A0EQC,Molybdenum,,
Live fishes,Live fishes,A09TK#F02.A0EJV,Common silver-biddy (as animal),Gerres oyena,Blanche commune$Mojarra común
Live fishes,Live fishes,A0R8B#F02.A0EJV,Chilotilapia rhoadesii (as animal),Chilotilapia rhoadesii,
Live Molluscs,Live molluscs,A12AH#F02.A0EJR,Combed octopus (as animal),Eledone massyae,Élédone peigne$Pulpo desflecado
Feed related  Animal feed,"Feed-related, Animal feed",A186Z#F02.A0F0Y$F23.A07TV,Polyhydroxybutyrate from fermentation with Ralstonia eutropha (feed),,
LIVE FISHES,Live fishes,A0PAB#F02.A0EJV,Chilatherina (generic) (as animal),Chilatherina spp.,
LIVE FISHES,Live fishes,A0VRQ#F02.A0EJV,Stathmonotus (generic) (as animal),Stathmonotus spp.,
LIVE FISHES,Live fishes,A0940#F02.A0EJV,Island mackerel (as animal),Rastrelliger faughni,Maquereau des îles$Caballa isleña
LIVE FISHES,Live fishes,A0VXE#F02.A0EJV,Scorpaenodes muciparus (as animal),Scorpaenodes muciparus,
Live Fishes,Live fishes,A0Y8A#F02.A0EJV,Diodon (generic) (as animal),Diodon spp.,
live fishes,Live fishes,A0JFJ#F02.A0EJV,Piabucina (generic) (as animal),Piabucina spp.,
live fishes,Live fishes,A0S1G#F02.A0EJV,Eupetrichthys (generic) (as animal),Eupetrichthys spp.,
live algae,Live algae,A18BH#F02.A0EKA,Channelled wrack (as organism),Pelvetia canaliculata$Fucus canaliculatus,Pelvetia
LIVE CRUSTACEANS,Live crustaceans,A0A67#F02.A0EJQ,Thumbnail Crab (as animal),Thia scutellata Fabricius,
LIVE FISHES,Live fishes,A0PNG#F02.A0EJV,Bigeye bass (as animal),Pronotogrammus eos,
live plants,Live plants,A158C#F02.A0BA0,Oenanthe crocata L. (as plant),Oenanthe crocata L.,
Live fishes,Live fishes,A0SPN#F02.A0EJV,Stripefin ronquil (as animal),Rathbunella hypoplecta,
"Oat, red, Grains, Oat grain, red, FA-06.1 Whole, broken, or flaked grain","Oat, red, Grains, Oat grain, red, FA-06.1 Whole, broken, or flaked grain",A000H#F01.A059X$F02.A066Q$F27.A000H$F33.A0C4A,"Oat grain, red",Avena byzantina K. Koch,
Live fishes,Live fishes,A0Q0D#F02.A0EJV,Gjellerup's mouth almighty (as animal),Glossamia gjellerupi,
FOOD FLAVOURS,Food flavours,A06TE#F02.A06CD,Rum-raisin flavour,,
LIVE BIRDS,Live birds,A1AFA#F02.A0EJX,Yellow-breasted Greenfinch (as animal),Chloris spinoides$Carduelis spinoides,
LIVE FISHES,Live fishes,A0LBS#F02.A0EJV,Aluminum catfish (as animal),Chrysichthys longipinnis,
Live Fishes,Live fishes,A08YE#F02.A0EJV,Trisopterus (generic) (as animal),Trisopterus spp.,Trisopterus nei$Tacauds nca$Fanecas nep$Pouting
Live Fishes,Live fishes,A09Q2#F02.A0EJV,Lemonfish (as animal),Plectorhinchus flavomaculatus,
LIVE FISHES,Live fishes,A0M8A#F02.A0EJV,Echidna (generic) (as animal),Echidna spp.,
Live fishes,Live fishes,A0S7P#F02.A0EJV,Heavybeak parrotfish (as animal),Chlorurus gibbus,
Live fishes,Live fishes,A09YX#F02.A0EJV,Lumpfish(=Lumpsucker) (as animal),Cyclopterus lumpus,Lumpfish(=Lumpsucker)$Lompe$Liebre de mar
LIVE FISHES,Live fishes,A0Y7N#F02.A0EJV,"Globefish, porcupine fish (as animal)",Diodontidae,"Porcs-épics$Pejerizos, puercoespines"
live molluscs,Live molluscs,A12FQ#F02.A0EJR,Smittoidea ornatipectoralis (as animal),Smittoidea ornatipectoralis,
LIVE FISHES,Live fishes,A09XE#F02.A0EJV,Weakfishes (generic) (as animal),Cynoscion spp.,Weakfishes nei$Acoupas nca$Corvinatas nep$Weakfish
Live fishes,Live fishes,A0GKJ#F02.A0EJV,Spotted ratfish (as animal),Hydrolagus colliei,Chimère d'Amérique$Quimera americana
Plants,"Plants, Leaves used as leafy vegetables, Kales and similar-, FA-04.1 Unprocessed fruit and vegetables",A170V#F01.A058Y$F02.A0EKV$F27.A00GL$F33.A0C51,Black kale,Brassica oleracea var. acephala$Brassica oleracea var. palmifolia,
LIVE FISHES,Live fishes,A0N9V#F02.A0EJV,Kaupus (generic) (as animal),Kaupus spp.,
Live fishes,Live fishes,A0RQV#F02.A0EJV,Stomatepia (generic) (as animal),Stomatepia spp.,
Live vegetable for infusions,Live vegetables for infusions,A065G#F02.A0EKC,Live plants for infusion (as plant),,
"FEED-RELATED, ANIMAL FEED, SPELT GRAIN","Feed-related, Animal feed, Spelt grain",A0BD8#F02.A0F0Y$F23.A07TV$F27.A05XP,Spelt hulls (feed),,
live crustaceans,Live crustaceans,A0ZEP#F02.A0EJQ,Austropotamobius (generic) (as animal),Austropotamobius spp.,
"Pacific fat sleeper, fish meat, pacific fat sleeper, fa-09.1.1 unprocessed fish","Pacific fat sleeper, Fish meat, Pacific fat sleeper, FA-09.1.1 Unprocessed fish",A0F9L#F01.A0T5M$F02.A0EMD$F27.A0F9L$F33.A0C39,Pacific fat sleeper,Dormitator latifrons,
live fishes,Live fishes,A0LGH#F02.A0EJV,Glyptothorax alaknandi (as animal),Glyptothorax alaknandi,
live fishes,Live fishes,A0N0F#F02.A0EJV,Firebelly grenadier (as animal),Coelorinchus ventrilux,
Live fishes,Live fishes,A0HHY#F02.A0EJV,Scaleless black dragonfish (as animal),Melanostomias bartonbeani,
LIVE FISHES,Live fishes,A0SLC#F02.A0EJV,Vomeridens infuscipinnis (as animal),Vomeridens infuscipinnis,
Live Molluscs,Live molluscs,A0ALD#F02.A0EJR,Cock's comb conch (as animal),Strombus peruvianus,Strombe crête de coq$Cobo cresta de gallo$Peruvian Conch
Courgettes  Fruits used as vegetables  Courgettes  FA 04 1 Unprocessed fruit and vegetables,"Courgettes, Fruits used as vegetables, Courgettes, FA-04.1 Unprocessed fruit and vegetables",A00JR#F01.A05DD$F02.A0ELE$F27.A00JR$F33.A0C51,Courgettes,Cucurbita pepo L. Zucchini Group ,Zucchetti$Zucchini
LIVE FISHES,Live fishes,A0X7N#F02.A0EJV,Gymnocanthus (generic) (as animal),Gymnocanthus spp.,
Live plants,Live plants,A16NB#F02.A0BA0,Tradescantia clone 4430 (as plant),Tradescantia clone 4430,
LIVE FISHES,Live fishes,A0LAE#F02.A0EJV,Hemibagrus wyckioides (as animal),Hemibagrus wyckioides,
live insects and arachnids,Live insects and arachnids,A19MN#F02.A0EJP,Culicoides corsicus (as animal),Culicoides corsicus,
live fishes,Live fishes,A0XMZ#F02.A0EJV,Crosseyed flounder (as animal),Neolaeops microphthalmus,
LIVE FISHES,Live fishes,A0GKM#F02.A0EJV,Hydrolagus alberti (as animal),Hydrolagus alberti,
Live Fruit Plants,Live fruit plants,A063R#F02.A0EKF,"Sapote, black (as plant)",Diospyros digyna Jacq.$Diospyros ebenaster Retz.$Diospyros nigra (J.F.Gmel.) Perrier,
LIVE FISHES,Live fishes,A0PEL#F02.A0EJV,Mastacembelus sexdecimspinus (as animal),Mastacembelus sexdecimspinus,
LIVE PLANTS,Live plants,A15CH#F02.A0BA0,Huperzia saururus (Lam.) Trevis. (as plant),Huperzia saururus (Lam.) Trevis.$Phlegmariurus saururus (Lam.) B. Øllg.$Lycopodium saururus Lam.,
Garden pea,"Garden pea, Pod, Garden peas, FA-04.1 Unprocessed fruit and vegetables",A00PY#F01.A05HP$F02.A067L$F27.A00PY$F33.A0C51,Garden peas (with pods),Pisum sativum L. (any subspp. and var.),Green peas (with pods)$Mangetout (with pods)$Sugar peas (with pods)$Snow peas (with pods)$Wrinkled pea
Live Fishes,Live fishes,A0TGJ#F02.A0EJV,Corcyrogobius liechtensteini (as animal),Corcyrogobius liechtensteini,
Live Fishes,Live fishes,A0NZR#F02.A0EJV,Cetomimidae (as animal),Cetomimidae,
LIVE FISHES,Live fishes,A0KVV#F02.A0EJV,Sinogastromyzon puliensis (as animal),Sinogastromyzon puliensis,
Live Molluscs,Live molluscs,A121T#F02.A0EJR,Thracia (generic) (as animal),Thracia spp.,
Live fishes,Live fishes,A0FXM#F02.A0EJV,Blackbelly lanternshark (as animal),Etmopterus lucifer,Sagre lucifer$Tollo lucero diablo
Live birds,Live birds,A187S#F02.A0EJX,Pelecaniformes (as animal),Pelecaniformes (order),
live fishes,Live fishes,A0QND#F02.A0EJV,Banded croaker (as animal),Paralonchurus brasiliensis,
Live Fishes,Live fishes,A0FHJ#F02.A0EJV,Megachasmidae (as animal),Megachasmidae,
Live molluscs,Live molluscs,A11PZ#F02.A0EJR,Plagiocardium (generic) (as animal),Plagiocardium spp.,
Live fishes,Live fishes,A0LKB#F02.A0EJV,Encheloclarias (generic) (as animal),Encheloclarias spp.,
live birds,Live birds,A19TM#F02.A0EJX,Mountain Hawk-Eagle (as animal),Nisaetus nipalensis,
White sauces,"White sauces, Cheese, FA-12.6 Sauces",A043Y#F02.A0EPK$F04.A02QE$F33.A0C2G,Cheese sauce,,cheddar sauce$Mornay sauce
LIVE FISHES,Live fishes,A08BQ#F02.A0EJV,Blackmouth splitfin (as animal),Synagrops japonicus,Maconde bouche noire$Maconda boquinegra
LIVE FISHES,Live fishes,A0PAL#F02.A0EJV,Rhadinocentrus ornatus (as animal),Rhadinocentrus ornatus,
"ripened cheese, hard, milk, ripening, cheesemaking, fa-01.7.2 ripened cheese","Ripened cheese, Hard, Milk, Ripening, Cheesemaking, FA-01.7.2 Ripened cheese",A02VT#F02.A06BN$F10.A0CJP$F27.A02LT$F28.A0C6F$F28.A0C6E$F33.A0C5F,"Cheese, nagelkaas",,
Live fishes,Live fishes,A0P6T#F02.A0EJV,Elongate dory (as animal),Zenion leptolepis,
LIVE PLANTS,Live plants,A17GY#F02.A0BA0,Abies fraseri ( Pursh) Poir. (as plant),Abies fraseri ( Pursh) Poir.,
live crustaceans,Live crustaceans,A0A7G#F02.A0EJQ,Scaled slipper Lobster (as animal),Scyllarus depressus Smith,
LIVE MOLLUSCS,Live molluscs,A10CZ#F02.A0EJR,Striate pisania (as animal),Pisania striata,Buccin truite$Caracolillo estriado
LIVE FISHES,Live fishes,A0QYT#F02.A0EJV,African moony (as animal),Monodactylus sebae,Breton africain$Rambalí
Live Fishes,Live fishes,A08L5#F02.A0EJV,Cape conger (as animal),Conger wilsoni Bloch & Schneider,
Live fishes,Live fishes,A0NMS#F02.A0EJV,Epiplatys azureus (as animal),Epiplatys azureus,
live fishes,Live fishes,A0NHV#F02.A0EJV,Gambusia (generic) (as animal),Gambusia spp.,
Whey protein with FA-12.9 Protein products with excluding products covered in category 1.8,"Whey protein, FA-12.9 Protein products, excluding products covered in category 1.8",A02PS#F02.A06BH$F33.A0C2D,Whey protein,,
LIVE ROOT OR TUBER VEGETABLES,Live root or tuber vegetables,A05KY#F02.A0EKM,Alocasia macrorrhizos (as plant),Alocasia macrorrhizos (L.) G.Don,
last Insects And Arachnids,Live insects and arachnids,A196J#F02.A0EJP,Aedes aegypti (as animal),Aedes aegypti,Yellow fever mosquito
Plants that is Compact leaves used as leafy vegetables and Other species harvested at baby leaf stage and FA-04.1 Unprocessed fruit and vegetables,"Plants, Compact leaves used as leafy vegetables, Other species harvested at baby leaf stage, FA-04.1 Unprocessed fruit and vegetables",A0DKJ#F01.A058Y$F02.A067K$F27.A0DKJ$F33.A0C51,Other species harvested at baby leaf stage,,
LIVE FISHES,Live fishes,A0FZA#F02.A0EJV,Hooktooth dogfish (as animal),Aculeola nigra,Squale noir$Tollo negro de cachos
LIVE FISHES,Live fishes,A0TKH#F02.A0EJV,Two-spotted goby (as animal),Gobiusculus flavescens,
Germ and Wheat and similar- and granulate milling and FA-06.2.1 Flours,"Germ, Wheat and similar-, Grain milling, FA-06.2.1 Flours",A004Q#F02.A068A$F27.A001M$F28.A0C03$F33.A0C48,Wheat germ,,
live plants,Live plants,A15JQ#F02.A0BA0,Ribes spicatum Robson (as plant),Ribes spicatum Robson,
Live molluscs,Live molluscs,A11CM#F02.A0EJR,Forked venus (as animal),Gafrarium divaricatum,Circe divariquée
LIVE BIRDS,Live birds,A19VK#F02.A0EJX,Himalayan Monal (as animal),Lophophorus impejanus,
"Hot Drinks And Similar, Coffee Imitate Ingredients, Brewing / Infusion, Fa-14.1.5.2 Other","Hot drinks and similar, Coffee imitate ingredients, Brewing / infusion, FA-14.1.5.2 Other",A03KX#F02.A068Y$F04.A03GS$F28.A07MK$F33.A0C1Q,Mixed coffee imitates infusion,,Mixed coffee substitutes infusion
LIVE BIRDS,Live birds,A1AHQ#F02.A0EJX,Erckel's Francolin (as animal),Pternistis erckelii$Francolinus erckelii,Erckel's Spurfowl
Live Molluscs,Live molluscs,A10MC#F02.A0EJR,Rhinocoryne (generic) (as animal),Rhinocoryne spp.,
Preserved meat cuts,Preserved meat cuts,A04ND#F02.A06AP,Processed whole meat products,,
LIVE FISHES,Live fishes,A0KHS#F02.A0EJV,Paralaubuca barroni (as animal),Paralaubuca barroni,
LIVE CRUSTACEANS,Live crustaceans,A100G#F02.A0EJQ,Spiny spider crab (as animal),Maja goltziana,Araignée hérissée$Cabrot espinoso
"Lobster, american, American lobster, Crustaceans meat, FA-09.1.2 Unprocessed molluscs and crustaceans","American lobster, Crustaceans meat, Lobster, american, FA-09.1.2 Unprocessed molluscs and crustaceans",A02FQ#F01.A054A$F02.A0EMF$F27.A02FQ$F33.A0C38,"Lobster, american",Homarus americanus,American lobster
Live Fruit Plants,Live fruit plants,A156E#F02.A0EKF,Morus nigra L. (as plant),Morus nigra L.,
Live Fishes,Live fishes,A0YBN#F02.A0EJV,Paraluteres (generic) (as animal),Paraluteres spp.,
live crustaceans,Live crustaceans,A0AAJ#F02.A0EJQ,Caramote prawn (as animal),Penaeus kerathurus,Caramote$Langostino
LIVE FISHES,Live fishes,A0X9E#F02.A0EJV,Phallocottus (generic) (as animal),Phallocottus spp.,
LIVE FISHES,Live fishes,A0RXL#F02.A0EJV,Pomachromis (generic) (as animal),Pomachromis spp.,
LIVE FISHES,Live fishes,A0LBC#F02.A0EJV,Mystus atrifasciatus (as animal),Mystus atrifasciatus,
LIVE PLANTS,Live plants,A15BQ#F02.A0BA0,Petasites albus (L.) Gaertn. (as plant),Petasites albus (L.) Gaertn.,
LIVE MOLLUSCS,Live molluscs,A10XN#F02.A0EJR,Histrio cowrie (as animal),Cypraea histrio,
Leafy vegetables with Compact leaves used as leafy vegetables with Escaroles and similar- with FA-04.1 Unprocessed fruit and vegetables,"Leafy vegetables, Compact leaves used as leafy vegetables, Escaroles and similar-, FA-04.1 Unprocessed fruit and vegetables",A00LD#F01.A05DY$F02.A067K$F27.A00LD$F33.A0C51,Escaroles and similar-,,
live molluscs,Live molluscs,A10SP#F02.A0EJR,Gibbous nassa (as animal),Nassarius gibbosulus,Nasse bossue$Mugarida jorobada
LIVE MOLLUSCS,Live molluscs,A0ATC#F02.A0EJR,Rangia (generic) (as animal),Rangia spp.,
live plants,Live plants,A14HP#F02.A0BA0,Erythrina verna Vell. (as plant),Erythrina verna Vell.,
live molluscs,Live molluscs,A12GR#F02.A0EJR,Rhizostomatidae (as animal),Rhizostomatidae,
live crustaceans,Live crustaceans,A0ZBJ#F02.A0EJQ,Alpheidae (as animal),Alpheidae,
live molluscs,Live molluscs,A0AK7#F02.A0EJR,Giant abalone (as animal),Haliotis gigantea,Ormeau géant$Abulón gigante
Scarlet runner bean  Beans  Runner beans  FA 04 1 Unprocessed fruit and vegetables,"Scarlet runner bean, Beans, Runner beans, FA-04.1 Unprocessed fruit and vegetables",A0DFK#F01.A05HG$F02.A066Y$F27.A0DFK$F33.A0C51,Runner beans (without pods),Phaseolus coccineus L.,Scarlet runner beans (without pods)
live plants,Live plants,A13BZ#F02.A0BA0,Pinaceae - family (as plant),Pinaceae (family),
Live fishes,Live fishes,A0V3E#F02.A0EJV,Thyrsites (generic) (as animal),Thyrsites spp.,
Live fishes,Live fishes,A0N6S#F02.A0EJV,Sea pony (as animal),Hippocampus fuscus,
LIVE CRUSTACEANS,Live crustaceans,A0ZCM#F02.A0EJQ,Latreutes (generic) (as animal),Latreutes spp.,
Live fishes,Live fishes,A0G9Z#F02.A0EJV,Dasyatis margaritella (as animal),Dasyatis margaritella,
Fruit/vegetable juice ready to drink that is Turnips and Juicing and FA-14.1.2 Fruit juices as defined by Directive 2001/112/EC and vegetable juices,"Fruit/vegetable juice ready to drink, Turnips, Juicing, FA-14.1.2 Fruit juices as defined by Directive 2001/112/EC and vegetable juices",A03CR#F02.A068V$F27.A00RE$F28.A07LN$F33.A0C1X,"Juice, turnip",,
LIVE FISHES,Live fishes,A0SRB#F02.A0EJV,Trident prickleback (as animal),Gymnoclinus cristulatus,
live fishes,Live fishes,A0GLP#F02.A0EJV,Lepidosirenidae (as animal),Lepidosirenidae,
LIVE FISHES,Live fishes,A0HLD#F02.A0EJV,Asian bonytongue (as animal),Scleropages formosus,Scléropage d'Asie$Pez lengüihueso malayo
LIVE FISHES,Live fishes,A0JHF#F02.A0EJV,Brachypetersius altus (as animal),Brachypetersius altus,
LIVE BIRDS,Live birds,A1A3B#F02.A0EJX,Brown Accentor (as animal),Prunella fulvescens,
know Insects And Arachnids,Live insects and arachnids,A19JH#F02.A0EJP,Culiseta glaphyroptera (as animal),Culiseta glaphyroptera,
LIVE MOLLUSCS,Live molluscs,A12GA#F02.A0EJR,Aequorea aequorea (as animal),Aequorea aequorea,
Live Fishes,Live fishes,A0TTX#F02.A0EJV,Okinawa rubble goby (as animal),Trimma okinawae,
Live fishes,Live fishes,A0MKN#F02.A0EJV,Avocet snipe eel (as animal),Avocettina infans,
LIVE BIRDS,Live birds,A1A4Y#F02.A0EJX,White-crowned Wheatear (as animal),Oenanthe leucopyga,White-tailed Wheatear$White-crowned Black Wheatear
LIVE PLANTS,Live plants,A13CA#F02.A0BA0,Piperaceae - family (as plant),Piperaceae (family),
Feed-related,"Feed-related, Animal feed, Wheat grains",A0BDN#F02.A0F0Y$F23.A07TV$F27.A05VX,Liquid wheat starch (feed),,
live fishes,Live fishes,A0HPT#F02.A0EJV,Zugmayer's pearleye (as animal),Benthalbella infans,
LIVE FISHES,Live fishes,A0RHJ#F02.A0EJV,Nyassachromis breviceps (as animal),Nyassachromis breviceps,
live fruiting vegetables,Live fruiting vegetables,A0E9C#F02.A0EKN,Tomatillo (as plant),Physalis philadelphica Lam.,
LIVE FISHES,Live fishes,A0FDN#F02.A0EJV,Pacific brook lamprey (as animal),Lampetra pacifica,Lamproie de ruisseau du Pacif.
FOOD FLAVOURS,Food flavours,A06VP#F02.A06CD,Tonic flavour,,
Live fishes,Live fishes,A0VSV#F02.A0EJV,Yelloweye rockfish (as animal),Sebastes ruberrimus,
LIVE FISHES,Live fishes,A190D#F02.A0EJV,Finescale razorbelly minnow (as animal),Salmostoma phulo,
Live leafy vegetables,Live leafy vegetables,A05BN#F02.A0EKL,Collards (as plant),Brassica oleracea L. var. viridis L,
live crustaceans,Live crustaceans,A0ZQG#F02.A0EJQ,Havana box crab (as animal),Hepatus kossmanni,Migraine havane$Cajeta habana
LIVE FISHES,Live fishes,A0JXC#F02.A0EJV,Moggel (as animal),Labeo umbratus,
Live fishes,Live fishes,A0HTE#F02.A0EJV,Ipnops (generic) (as animal),Ipnops spp.,
LIVE FISHES,Live fishes,A0KBS#F02.A0EJV,Eirmotus (generic) (as animal),Eirmotus spp.,
LIVE FISHES,Live fishes,A0XMJ#F02.A0EJV,Asterorhombus (generic) (as animal),Asterorhombus spp.,
Live Cereal Plants,Live cereal plants,A0CPQ#F02.A0EJM,Grasses (as plant),Poaceae,
Live plants,Live plants,A14NJ#F02.A0BA0,Gentiana scabra Bunge (as plant),Gentiana scabra Bunge,
live molluscs,Live molluscs,A12AD#F02.A0EJR,Octopus neglectus (as animal),Octopus neglectus,
Live fishes,Live fishes,A0JDT#F02.A0EJV,Apareiodon (generic) (as animal),Apareiodon spp.,
Live Crustaceans,Live crustaceans,A0AF4#F02.A0EJQ,Indian nylon shrimp (as animal),Heterocarpus woodmasoni,Crevette nylon indienne$Camarón nailon indio
live plants,Live plants,A13LK#F02.A0BA0,Andrographis paniculata (Burm.f.) Nees (as plant),Andrographis paniculata (Burm.f.) Nees$Justicia paniculata Burm. f.,
LIVE FISHES,Live fishes,A0Y1S#F02.A0EJV,Fivespot flounder (as animal),Pseudorhombus pentophthalmus,
live molluscs,Live molluscs,A109A#F02.A0EJR,Concave gibbula (as animal),Gibbula rarilineata,Troque rariline$Peonza concava
LIVE FISHES,Live fishes,A0R6T#F02.A0EJV,Biotoecus opercularis (as animal),Biotoecus opercularis,
LIVE FISHES,Live fishes,A0QXX#F02.A0EJV,Live sharksucker (as animal),Echeneis naucrates,Rémora commun$Pegatimón
"Mustard-Type Sauces, Mustard Seeds, Sweet / Mild, Fa-12.6 Sauces, Fa-12.4 Mustard","Mustard-type sauces, Mustard seeds, Sweet / mild, FA-12.6 Sauces, FA-12.4 Mustard",A044J#F02.A0EPH$F04.A015S$F10.A0CQM$F33.A0C2G$F33.A0C2J,"Mustard, mild",,
LIVE FISHES,Live fishes,A09TD#F02.A0EJV,Atlantic spadefish (as animal),Chaetodipterus faber,
Live Fishes,Live fishes,A0JHF#F02.A0EJV,Brachypetersius altus (as animal),Brachypetersius altus,
LIVE PLANTS,Live plants,A14BF#F02.A0BA0,Dalechampia scandens L. (as plant),Dalechampia scandens L.,
LIVE PLANTS,Live plants,A142C#F02.A0BA0,Chenopodium vulvaria L. (as plant),Chenopodium vulvaria L.,
Ripened cheese that is Hard and Milk and Ripening and Cheesemaking and FA-01.7.2 Ripened cheese,"Ripened cheese, Hard, Milk, Ripening, Cheesemaking, FA-01.7.2 Ripened cheese",A02ZS#F02.A06BN$F10.A0CJP$F27.A02LT$F28.A0C6F$F28.A0C6E$F33.A0C5F,"Cheese, parmigiano reggiano",,
Live fishes,Live fishes,A09E1#F02.A0EJV,Leaping bonito (as animal),Cybiosarda elegans,Bonite à dos tacheté$Bonito saltador
LIVE FISHES,Live fishes,A09QA#F02.A0EJV,Saddle grunt (as animal),Pomadasys maculatus,
Live fishes,Live fishes,A09F8#F02.A0EJV,Scamp (as animal),Mycteroperca phenax,Badèche galopin$Cuna garopa
LIVE FISHES,Live fishes,A0YCG#F02.A0EJV,Whitespotted pygmy filefish (as animal),Rudarius ercodes,
live insects and arachnids,Live insects and arachnids,A19KV#F02.A0EJP,Amblyomma lepidum (as animal),Amblyomma lepidum,
live birds,Live birds,A19CG#F02.A0EJX,Antbirds (as animal),Thamnophilidae (Family),
"Salmonids, Fish Meat, Salmons, Fa-09.1.1 Unprocessed Fish","Salmonids, Fish meat, Salmons, FA-09.1.1 Unprocessed fish",A0C75#F01.A0F2J$F02.A0EMD$F27.A0C75$F33.A0C39,Salmons,Salmo salar$Oncorhynchus spp. (only part),
Live fishes,Live fishes,A09N3#F02.A0EJV,Thryssa (generic) (as animal),Thryssa spp.,
live fishes,Live fishes,A0L3N#F02.A0EJV,Granulated catfish (as animal),Pterodoras granulosus,
Feed related  Animal feed  Cereal grains and products derived thereof,"Feed-related, Animal feed, Cereal grains and products derived thereof",A0EGB#F02.A0F0Y$F23.A07TV$F27.A0BBA,Cereal and cereal-like flours (feed),,Grain flour
Live Fishes,Live fishes,A09T4#F02.A0EJV,St. Paul's fingerfin (as animal),Acantholatris monodactylus,
LIVE MAMMALS,Live mammals,A19DV#F02.A0EJN,Common degu (as animal),Octodon degus,
LIVE BIRDS,Live birds,A17RN#F02.A0EJX,Corvus (as animal),Corvus sp.,Crows
Live Plants,Live plants,A13FV#F02.A0BA0,Aconitum anthora L. (as plant),Aconitum anthora L.,
Serviceberry  Fruits used as fruit  Serviceberries  FA 04 1 Unprocessed fruit and vegetables,"Serviceberry, Fruits used as fruit, Serviceberries, FA-04.1 Unprocessed fruit and vegetables",A0CFY#F01.A0E0H$F02.A0ELC$F27.A0CFY$F33.A0C51,Serviceberries,Amelanchier ovalis Medik.,
Live birds,Live birds,A1AHA#F02.A0EJX,Village Weaver (as animal),Ploceus cucullatus,
LIVE MOLLUSCS,Live molluscs,A10XY#F02.A0EJR,Ficidae (as animal),Ficidae,
live plants,Live plants,A14YP#F02.A0BA0,Lactuca virosa L. (as plant),Lactuca virosa L.,
Mulberry Fruits used as fruit Mulberries and similar FA 04 1 Unprocessed fruit and vegetables,"Mulberry, Fruits used as fruit, Mulberries and similar-, FA-04.1 Unprocessed fruit and vegetables",A04JL#F01.A060L$F02.A0ELC$F27.A04JL$F33.A0C51,Mulberries (black and white) and similar-,,
Skipjack tuna,"Skipjack tuna, Fish meat, Tuna, skipjack, FA-09.1.1 Unprocessed fish",A02EF#F01.A053C$F02.A0EMD$F27.A02EF$F33.A0C39,"Tuna, skipjack",Katsuwonus pelamis,Albakora$Tambakol$Skipjack tuna
Live fishes,Live fishes,A0T2J#F02.A0EJV,U-mark sandperch (as animal),Parapercis snyderi,
live fishes,Live fishes,A0NHL#F02.A0EJV,Largescale foureyes (as animal),Anableps anableps,
Live Fishes,Live fishes,A0VAV#F02.A0EJV,Spotted robust triplefin (as animal),Grahamina capito,
Live plants,Live plants,A13XH#F02.A0BA0,Brunfelsia pauciflora (Cham. & Schltdl.) Benth. (as plant),Brunfelsia pauciflora (Cham. & Schltdl.) Benth.$Brunfelsia eximia (Seidw. ex T. Moore & Ayers) Bosse,
Live fishes,Live fishes,A08SC#F02.A0EJV,Doublelined tonguesole (as animal),Paraplagusia bilineata,Langue à deux lignes$Fingerlip Tonguesole
LIVE FISHES,Live fishes,A0KGE#F02.A0EJV,Nematabramis (generic) (as animal),Nematabramis spp.,
